ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,2.441015,,,,,,,,,,,,,,,3c5ab221-5843-429b-b2cf-4b16cfe912c9,1041,,,"[7.9, 46.9]",22948,33,,,,,0.5981758,,Right Foot,,,"[46.2, 73.0]",,High Pass,,46.3476,,,Marion Torrent,25446.0,,,,,,,1,From Goal Kick,Sarah Bouhaddi,10129.0,Goalkeeper,73,France Women's,861,['bd8f8abc-8a70-4ad9-b90d-528ba099b5ab'],41,,,,,,,,,,,,,,,,,France Women's,861,00:33:41.738,Pass,
,,,,,,,,,,,,,4.007629,,,,,,,,,,,,,,,f9396819-a3ec-4d5f-9075-12842074fef2,1044,,,"[59.3, 72.5]",22948,33,,,,,-0.37211242,,Right Foot,,,"[106.7, 54.0]",,Low Pass,,50.882317,Incomplete,,Gaëtane Thiney,10113.0,,,,,,,1,From Goal Kick,Marion Torrent,25446.0,Right Back,73,France Women's,861,"['28424d11-253c-45a3-adaa-c7af678e2528', 'a90a05da-8421-416d-9f71-f751dd30a020']",46,,,,,,,,,,,,,,,,,France Women's,861,00:33:46.202,Pass,
,,,,,,,,,,,,,1.774105,,,,,,,,,,,,,,,119d8be9-b03c-4754-ad2d-eb279351253d,1047,,,"[14.7, 26.8]",22948,33,,True,,,0.5733565,,Keeper Arm,,,"[32.2, 38.1]",,Ground Pass,,20.831226,,,Vilde Bøe Risa,25466.0,,,,,,,1,From Counter,Ingrid Hjelmseth,10394.0,Goalkeeper,74,Norway Women's,852,['4bd4a058-80d9-4ff6-b8b9-03b736dc594b'],51,,,,,,,,,,,,,,,,,Norway Women's,852,00:33:51.537,Pass,
,,,,,,,,,,,,,4.002551,,,,,,,,,,,,,,,fe3e9aa4-c788-4029-abf2-bc453380f44e,1049,,,"[45.8, 37.6]",22948,33,,,,,-0.49319565,,Right Foot,,,"[101.8, 7.5]",,High Pass,,63.576805,,,Caroline Graham Hansen,10386.0,,,,,,,1,From Counter,Vilde Bøe Risa,25466.0,Right Center Midfield,74,Norway Women's,852,['c57f52d2-051e-4f99-859f-11a2c7a8dd80'],57,,,,,,,,,,,,,,,,,Norway Women's,852,00:33:57.060,Pass,
,,,,,,,,,,,,,6.838312,,,,,,,,,,,,,,,e590d2e4-471f-493b-a89e-082055f1298f,1057,,,"[120.0, 0.1]",22948,34,,,,,1.6514292,,Right Foot,,,"[113.6, 79.3]",,High Pass,True,79.45817,Out,,,,,,True,Inswinging,,Corner,1,From Corner,Caroline Graham Hansen,10386.0,Right Center Forward,75,Norway Women's,852,,45,,,,,,,,,,,,,,,,,Norway Women's,852,00:34:45.818,Pass,
,,,,,,,,,,,,,0.874563,,,,,,,,,,,,,,,348f0097-8bff-4147-81ce-01507b04f502,1058,,,"[4.9, 0.1]",22948,35,,,,,0.7384528,,,,,"[12.7, 7.2]",,Low Pass,,10.547511,,,Elise Bussaglia,10114.0,,,,,,Throw-in,1,From Throw In,Amel Majri,15249.0,Left Back,76,France Women's,861,['d2abe26b-520d-4982-89a9-d15f8bd63f8f'],6,,,,,,,,,,,,,,,,,France Women's,861,00:35:06.272,Pass,
,,,,,,,,,,,,,0.961571,,,,,,,,,,,,,,,7fed4661-8a05-477b-aa0b-66fd9f06cc02,1061,,,"[12.7, 7.2]",22948,35,,,,,-1.8978944,,Right Foot,,,"[10.8, 1.6]",,Ground Pass,,5.9135437,,,Amel Majri,15249.0,,,,,,,1,From Throw In,Elise Bussaglia,10114.0,Right Defensive Midfield,76,France Women's,861,['d1d8fe03-8fad-4d4e-b806-c7a39e26d7ce'],7,,,,,,,,,,,,,,,,,France Women's,861,00:35:07.307,Pass,
,,,,,,,,,,,,,2.291977,,,,,,,,,,,,,,,edab8689-75c8-40eb-8422-bf9557c058e4,1065,,,"[10.2, 1.6]",22948,35,,,,,-0.048849996,,Left Foot,,,"[32.7, 0.5]",,High Pass,,22.526873,Out,,Valérie Gauvin,25442.0,,,,,,,1,From Throw In,Amel Majri,15249.0,Left Back,76,France Women's,861,"['0a3b991d-da53-49de-af1f-39d0773f7ef1', '0c429eb1-165f-46a2-a104-a8fd0925e6f4']",8,,,,,,,,,,,,,,,,,France Women's,861,00:35:08.429,Pass,True
,,,,,,,,,,,,,1.46192,,,,,,,,,,,,,,,189c59ac-7733-44a3-a5e3-a2f4ff2ee935,1067,,,"[78.5, 80.0]",22948,35,,,,,-1.3751339,,,,,"[80.7, 68.9]",,Low Pass,,11.315918,,,Vilde Bøe Risa,25466.0,,,,,,Throw-in,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,77,Norway Women's,852,['7cc0a8ab-6ee5-4b8e-af10-dd80a932dcc3'],19,,,,,,,,,,,,,,,,,Norway Women's,852,00:35:19.684,Pass,
,,,,,,,,,,,,,1.388863,,,,,,,,,,,,,,,bd93b417-059d-4b77-aba1-a9ce3a000b1a,1070,,,"[84.6, 75.0]",22948,35,,,,,-2.1112158,,Right Foot,,,"[75.3, 59.5]",,Ground Pass,,18.07595,,,Ingrid Syrstad Engen,24374.0,,,,,,,1,From Throw In,Vilde Bøe Risa,25466.0,Right Center Midfield,77,Norway Women's,852,['f1c4e285-6a31-426b-b5a0-0d40ef6fda63'],23,,,,,,,,,,,,,,,,,Norway Women's,852,00:35:23.062,Pass,
