50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.530776,,,,,,,,,,,,,b764df93-940e-413e-863c-92efadb90ccc,3153,,,"[7.5, 80.0]",3829439,89,True,,,-0.22509179,,,,"[28.9, 75.1]",,High Pass,,21.953815,,,Incomplete,,,,,,,,Throw-in,2,From Throw In,Pavle Ninkov,40641.0,Right Back,193,Toulouse,130,['0c659d13-c5a8-43d2-8d66-fe06f676895a'],29,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:29.871,Pass,
,,,,,,,,,,,,,,,,1.137736,,,,,,,,,,,,,803f7f80-bb65-422b-a859-d722e7af5869,3155,,,"[28.9, 80.0]",3829439,89,True,,,-0.11742464,,,,"[84.0, 73.5]",,Low Pass,,55.48207,,,Incomplete,,,,,,,,Throw-in,2,From Throw In,Pavle Ninkov,40641.0,Right Back,194,Toulouse,130,['f6f2e94a-80a1-4b3a-92ba-c3c2c8d7cc2a'],40,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:40.578,Pass,
,,,,,,,,,,,,,,,,0.577577,,,,,,,,,,,,,850af4f7-e235-41e4-9991-d75886e9ee79,3157,,,"[38.5, 6.6]",3829439,89,,,,0.68648535,,Left Foot,,"[45.7, 12.5]",,Ground Pass,,9.3085985,,,,,Adama Traoré,4464.0,,,,,,2,From Throw In,Layvin Kurzawa,4326.0,Left Back,194,Toulouse,130,['5e446a3f-f4a6-43e8-9821-8ffe1c981da0'],44,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:44.438,Pass,
,,,,,,,,,,,,,,,,1.708514,,,,,,,,,,,,,dec6b117-d64d-4079-bdac-4bd44c038119,3160,,,"[62.4, 12.9]",3829439,89,,,,0.2931869,,Left Foot,,"[88.9, 20.9]",,High Pass,,27.681221,,,Incomplete,,Lacina Traoré,3553.0,,,,,,2,From Throw In,Adama Traoré,4464.0,Left Defensive Midfield,194,Toulouse,130,"['2ca940b2-b05e-4a57-995b-bf0d9cab09a5', 'ac7f914d-bd3a-4e68-acc3-47c431306827']",47,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:47.480,Pass,
,,,,,,,,,,,,,,,,1.621154,,,,,,,,,,,,,2ca940b2-b05e-4a57-995b-bf0d9cab09a5,3162,,,"[31.2, 59.2]",3829439,89,,,,1.2914144,,Head,,"[34.7, 71.4]",,Low Pass,,12.692123,,,,,Pavle Ninkov,40641.0,,,,,Recovery,2,From Throw In,Steeve Yago,3035.0,Left Center Back,194,Toulouse,130,"['4b67c06f-1eee-4ae8-844f-649487cd19dd', 'dec6b117-d64d-4079-bdac-4bd44c038119']",49,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:49.188,Pass,
,,,,,,,,,,,,,,,,1.308856,,,,,,,,,,,,,7b543128-1b49-45b4-be01-2d79666cae44,3166,,,"[32.6, 72.1]",3829439,89,,,,-0.7316864,,Right Foot,,"[42.4, 63.3]",,Ground Pass,,13.171181,,,,,Tongo Hamed Doumbia,16522.0,,,,,,2,From Throw In,Pavle Ninkov,40641.0,Right Back,194,Toulouse,130,['d6909e04-500b-4d5e-8055-fb9d71e35882'],51,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:51.921,Pass,
,,,,,,,,,,,,,,,,1.230833,,,,,,,,,,,,,27dda462-9fe4-48a3-aae8-1915b3c3d5aa,3169,,,"[48.1, 65.9]",3829439,89,,,,1.401018,,Left Foot,,"[49.3, 72.9]",,Ground Pass,,7.1021123,,,,,Wergiton do Rosário Calmon,3030.0,,,,,,2,From Throw In,Tongo Hamed Doumbia,16522.0,Left Defensive Midfield,194,Toulouse,130,['d5e1d584-be22-4c05-8b87-9fb3ce86add3'],53,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:53.353,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,d86f2907-3ff3-462c-8fcc-387cc330a6d6,3172,,,"[65.3, 67.4]",3829439,89,,,,-0.13188308,,Right Foot,,"[75.1, 66.1]",,Ground Pass,,9.885848,,,,,Adrien Regattin,16418.0,,,,,,2,From Throw In,Wergiton do Rosário Calmon,3030.0,Right Midfield,194,Toulouse,130,['ceca2ca1-fa00-489f-a190-b57e71517a2f'],58,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:58.308,Pass,
,,,,,,,,,,,,,,,,1.12104,,,,,,,,,,,,,db0dc524-2709-4567-982d-6625b0e8e79e,3175,,,"[109.7, 70.8]",3829439,90,,,,-1.4043187,14fbcdcb-7620-4607-bede-bff73fb4b2d4,Right Foot,True,"[113.8, 46.4]",,Ground Pass,,24.74207,,,,,Martin Braithwaite Christensen,4447.0,True,,,,,2,From Throw In,Adrien Regattin,16418.0,Center Attacking Midfield,194,Toulouse,130,['7b0c12e6-0f95-4b7f-ab7b-5a502c31b3d7'],3,,,,,,,,,,,,,,,,,,Toulouse,130,00:45:03.018,Pass,
,,,,,,,,,,,,,,,,1.52763,,,,,,,,,,,,,61f25c76-3d09-44a3-b7e8-2db0c9da9a1b,3182,,,"[6.0, 36.0]",3829439,90,True,,,0.32275355,,Right Foot,,"[35.9, 46.0]",,Ground Pass,,31.527924,,,,,Jérémy Toulalan,3406.0,,,,,Goal Kick,2,From Goal Kick,Danijel Subašić,3444.0,Goalkeeper,195,AS Monaco,129,['2265f763-dda1-44aa-9950-f5a308315527'],25,,,,,,,,,,,,,,,,,,AS Monaco,129,00:45:25.281,Pass,
