50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.157982,,,,,,,,,,,,,,,,d8bcb204-1062-478a-807a-0becd4cd5663,3112,,"[70.6, 72.1]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kévin Malcuit,4382.0,Right Back,161,OGC Nice,136,"['41c8c8d0-0d93-4833-80f9-94ab1acd23be', '582ff9b8-3309-42bd-abe8-5bb6a3530d40']",35,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:31:35.563,Pressure,
,,,,,,,,,,,,,True,,,,,,0.735446,,,,,,,,,,,,,,,,435253ce-64b8-4761-a608-16a171da8b5e,3121,,"[22.7, 34.5]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mathieu Bodmer,4373.0,Right Center Back,162,Saint-Étienne,135,"['bc559d30-6ab8-4cda-86c5-9932ee424117', 'f4edff74-d0ba-49ef-9d8d-3c593a123be8']",41,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:41.335,Pressure,
,,,,,,,,,,,,,,,,,,,0.536384,,,,,,,,,,,,,,,,9c852f44-ef82-45ae-9d81-d068d6fc51b6,3156,,"[16.9, 75.4]",3829490,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vincent Koziello,4264.0,Right Center Midfield,165,Saint-Étienne,135,"['28f4e80f-b25f-409e-a575-ed8cfdb89141', '57126a82-4a11-452f-9423-3680cb285601', 'be44836b-5e56-4233-bb07-5c43c6acf259']",58,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:32:58.436,Pressure,
,,,,,,,,,,,,,,,,,,,0.683063,,,,,,,,,,,,,,,,54316bcd-5ab5-45ad-a5bf-a7cbd7049864,3160,,"[13.9, 78.1]",3829490,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vincent Koziello,4264.0,Right Center Midfield,165,Saint-Étienne,135,"['ecdbc8c5-94be-4738-b848-5c4ef81cfccd', 'ee0f5e61-2e44-475d-8d4f-a48d8e5e378d']",59,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:32:59.381,Pressure,
,,,,,,,,,,,,,,,,,,,1.139619,,,,,,,,,,,,,,,,58ec95a4-a5c8-457d-8d0b-94282250445f,3165,,"[16.1, 75.9]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vincent Koziello,4264.0,Right Center Midfield,165,Saint-Étienne,135,"['25639c9c-d47a-47e8-8be0-42aa1ec8651e', 'af8efaca-70c5-47d6-a337-9ac168909de0']",2,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:33:02.183,Pressure,
,,,,,,,,,,,,,,,,,,,2.02996,,,,,,,,,,,,,,,,17b843dd-e7bc-464e-9cba-7af8490473fc,3177,,"[6.6, 13.3]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ricardo Domingos Barbosa Pereira,6352.0,Left Back,165,Saint-Étienne,135,"['62162ff8-c9f0-47a7-bcc5-9d331f057572', '7091456a-0fc7-442b-ae11-d6578bc33d76']",14,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:33:14.586,Pressure,
,,,,,,,,,,,,,,,,,,,1.636301,,,,,,,,,,,,,,,,2fa12882-1613-4d1d-afcd-08bd1755e678,3183,,"[28.5, 16.3]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Loïc Perrin,4263.0,Left Center Back,166,OGC Nice,136,['8a52b225-ccc4-494b-94b5-56c13bbf0dd4'],26,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:33:26.810,Pressure,
,,,,,,,,,,,,,,,,,,,0.4515,,,,,,,,,,,,,,,,0a370fc4-6dff-4075-b5c2-ecfb9a89c5e1,3190,,"[17.5, 31.5]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Fabien Lemoine,7200.0,Right Defensive Midfield,166,OGC Nice,136,"['31d35737-ab63-4e40-9f6c-9511a6f936ff', '41db2c6d-708f-45e2-9939-9b50ba8ea61a']",32,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:33:32.698,Pressure,
,,,,,,,,,,,,,,,,,,,0.575648,,,,,,,,,,,,,,,,693b482d-a651-4517-a6f9-8ae309f7163f,3204,,"[18.0, 21.4]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wallyson Teixeira Mallmann,134561.0,Left Center Midfield,167,Saint-Étienne,135,"['018b4793-5145-49cc-9348-0145f4040f37', '4911563a-b0fc-47d7-b41a-755af3637c4a']",54,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:33:54.856,Pressure,
,,,,,,,,,,,,,True,,,,,,1.824294,,,,,,,,,,,,,,,,61516ea2-3070-4f95-9b62-1829982279a6,3208,,"[101.7, 62.5]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jean-Christophe Bahebeck,8469.0,Right Midfield,167,Saint-Étienne,135,['e6ac102e-f844-4786-8e94-7eed72fed31f'],56,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:33:56.496,Pressure,
