50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,d4412804-e227-4793-b76f-48a80b3f46b8,1704,,"[38.8, 22.0]",3901145,40,,,,,1.5230619,,Right Foot,,,,"[40.3, 53.4]",,Ground Pass,,31.435808,,,,Ryad Boudebouz,6661.0,,,,,,1,From Goal Kick,Daniel Congré,3011.0,Left Center Back,85,Montpellier,139,['8a4617e3-656e-41a1-9938-f790db77b12d'],34,,,,,,,,,,,,,,,,Montpellier,139,00:40:34.535,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,8cde2eeb-6e75-465e-a48a-7d57483b4a4f,1708,,"[34.1, 54.5]",3901145,40,,,,,-2.2987864,,Left Foot,,,,"[25.9, 45.3]",,Ground Pass,,12.32396,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Goal Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,85,Montpellier,139,['d8bf8e09-5607-4de3-9014-dd3588c600f4'],39,,,,,,,,,,,,,,,,Montpellier,139,00:40:39.248,Pass,
,,,,,,,,,,,,,,,,1.277218,,,,,,,,,,,,26e7eb28-799d-4da2-9561-3c7a0288f2bf,1711,,"[25.9, 45.3]",3901145,40,,,,,0.23348492,,Right Foot,,,,"[60.8, 53.6]",,High Pass,,35.87339,,,,Bryan Dabo,3421.0,,,,,,1,From Goal Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,85,Montpellier,139,['2434b8ba-08aa-4987-84ae-2f4fbfededb6'],40,,,,,,,,,,,,,,,,Montpellier,139,00:40:40.481,Pass,
,,,,,,,,,,,,,,,,1.424414,,,,,,,,,,,,02821644-a7a5-482b-80b9-ecabac562187,1714,,"[61.2, 53.6]",3901145,40,,,,,2.14167,,Right Foot,,,,"[54.2, 64.5]",,Ground Pass,,12.95415,,,,William Jean Rémy,4669.0,,,,,,1,From Goal Kick,Bryan Dabo,3421.0,Right Defensive Midfield,85,Montpellier,139,['f2a08662-01f7-4d59-a1b9-708ef33ed818'],41,,,,,,,,,,,,,,,,Montpellier,139,00:40:41.960,Pass,
,,,,,,,,,,,,,,,,0.879023,,,,,,,,,,,,a79c5c9d-7c8e-4551-9cdd-07dda07480cb,1717,,"[54.6, 66.5]",3901145,40,,,,,-2.5854263,,Right Foot,,,,"[43.5, 59.6]",,Ground Pass,,13.069813,,,,Ryad Boudebouz,6661.0,,,,,,1,From Goal Kick,William Jean Rémy,4669.0,Right Back,85,Montpellier,139,['75475f97-370e-4a64-82c6-dacfe81a4101'],43,,,,,,,,,,,,,,,,Montpellier,139,00:40:43.935,Pass,
,,,,,,,,,,,,,,,,0.62478,,,,,,,,,,,,1adf8092-01eb-4fce-a9d1-f9b5b258525b,1720,,"[45.0, 59.6]",3901145,40,,,,,-0.6486425,,Left Foot,,,,"[51.2, 54.9]",,Ground Pass,,7.7801027,,,,Jamel Saihi,40530.0,,,,,,1,From Goal Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,85,Montpellier,139,['9b252895-c1c5-49e2-9ee0-6ad519af3c2c'],46,,,,,,,,,,,,,,,,Montpellier,139,00:40:46.526,Pass,
,,,,,,,,,,,,,,,,0.59038,,,,,,,,,,,,a562cb71-6930-4e17-aa13-73aec4caa88c,1723,,"[51.2, 54.9]",3901145,40,,,,,2.226492,,Right Foot,,,,"[48.2, 58.8]",,Ground Pass,,4.920366,,,,Ryad Boudebouz,6661.0,,,,,,1,From Goal Kick,Jamel Saihi,40530.0,Left Defensive Midfield,85,Montpellier,139,['de5e76b5-7937-4e7d-8d8d-4e85b6010dbf'],47,,,,,,,,,,,,,,,,Montpellier,139,00:40:47.169,Pass,
,,,,,,,,,,,,,,,,2.324198,,,,,,,,,,,,462c53bc-b815-4d9e-9aef-4f8facb1aab4,1726,,"[47.3, 54.7]",3901145,40,,,,,-1.7485412,,Left Foot,,,,"[41.3, 21.3]",,High Pass,,33.934643,,,,Daniel Congré,3011.0,,,,,,1,From Goal Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,85,Montpellier,139,['9c2ab3bd-8de4-4dc1-a867-b838b522c3e7'],49,,,,,,,,,,,,,,,,Montpellier,139,00:40:49.264,Pass,
,,,,,,,,,,,,,,,,1.262121,,,,,,,,,,,,59d44cfa-2953-4e15-a2c5-a981561db279,1729,,"[41.3, 21.3]",3901145,40,,,,,-0.11264332,,Right Foot,,,,"[63.4, 18.8]",,Ground Pass,,22.240953,,,,Bryan Dabo,3421.0,,,,,,1,From Goal Kick,Daniel Congré,3011.0,Left Center Back,85,Montpellier,139,['c28f4592-7b98-43d5-97b6-8e06cc30a4cf'],52,,,,,,,,,,,,,,,,Montpellier,139,00:40:52.746,Pass,
,,,,,,,,,,,,,,,,2.212783,,,,,,,,,,,,7ea4cbcd-d3d0-491a-bfb0-588889a4351c,1735,,"[63.8, 24.5]",3901145,41,,True,,,2.201515,,Right Foot,,,,"[43.5, 52.3]",,High Pass,,34.422813,,,,Vitorino Hilton da Silva,3674.0,,,,,Free Kick,1,From Free Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,86,Montpellier,139,['4e8090dc-6718-4778-b15f-37295b5141ee'],14,,,,,,,,,,,,,,,,Montpellier,139,00:41:14.196,Pass,
,,,,,,,,,,,,,,,,1.566225,,,,,,,,,,,,818beae6-6202-4e1c-8250-55dfb34ea075,1737,,"[43.5, 52.6]",3901145,41,,,,,1.0987923,,Right Foot,,,,"[50.8, 66.9]",,Ground Pass,,16.055529,,,,Ryad Boudebouz,6661.0,,,,,,1,From Free Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,86,Montpellier,139,['4e6c2e64-233b-4283-aadc-5a49f633708f'],17,,,,,,,,,,,,,,,,Montpellier,139,00:41:17.106,Pass,
