50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[31.9, 58.8]",,,,,,,,,,,,2.039194,,,,,,,,,,,,,8a096e4f-2547-4067-be87-4741200a0fef,970,,"[28.0, 58.8]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Emiliano da Silva,3295.0,Right Center Back,34,Paris Saint-Germain,131,"['0d89a51c-83e2-4d86-8fef-f7dade5bf0c5', 'f03dd05d-5133-4c31-ab85-a5b2f2519c99']",29,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:29.536,Carry,
,,,,,,"[35.6, 29.4]",,,,,,,,,,,,3.00713,,,,,,,,,,,,,3074c7b1-3c4c-4a65-b826-57f2622dd2c3,973,,"[33.3, 24.6]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['0099e2b4-15f2-42c1-bbba-94c006ada436', '239e6c08-4d5f-488b-912e-6f7a41d6be95', '786e0189-ddb2-486e-a554-1fc1243bd4ba']",34,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:34.549,Carry,True
,,,,,,"[40.9, 53.1]",,,,,,,,,,,,4.077117,,,,,,,,,,,,,976c2b3b-60e6-4e8a-8bad-849ca756e38c,977,,"[34.7, 53.1]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Emiliano da Silva,3295.0,Right Center Back,34,Paris Saint-Germain,131,"['56727286-7a63-4239-ab44-99a6c3449498', '83b4992d-9c08-4619-b0b6-43b7b98477cd']",39,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:39.877,Carry,
,,,,,,"[36.1, 27.4]",,,,,,,,,,,,0.835289,,,,,,,,,,,,,0605ba6f-540d-42bc-a887-737dc14cc2c9,980,,"[38.2, 30.4]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['0874ff7e-31b1-4bd6-b7db-a58468257073', '3426d31a-082a-4434-802d-e03c6f47c054']",45,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:45.732,Carry,
,,,,,,"[63.6, 3.0]",,,,,,,,,,,,0.079999,,,,,,,,,,,,,126d682e-2459-4f8f-af89-6eb1a15ac825,983,,"[63.6, 3.0]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,34,Paris Saint-Germain,131,"['0d716a46-62cf-4385-add6-5bba29951004', 'a502efc4-1afe-4733-a874-79d515db4ca9']",48,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:48.686,Carry,
,,,,,,"[48.1, 10.5]",,,,,,,,,,,,0.12,,,,,,,,,,,,,3f12bc7e-39a8-4b8d-80f7-0620a6c126f2,986,,"[49.7, 8.8]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Blaise Matuidi,4375.0,Left Center Midfield,34,Paris Saint-Germain,131,"['9446d89d-2569-47fd-982b-932f7c49f31e', '9acb8ff4-7777-44c0-8e03-3c8f0696a21e']",50,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:50.636,Carry,
,,,,,,"[59.2, 19.9]",,,,,,,,,,,,0.079999,,,,,,,,,,,,,3642491d-a3e3-43cf-bd1a-20b4033ee769,989,,"[59.2, 19.9]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lucas Rodrigues Moura da Silva,3745.0,Left Wing,34,Paris Saint-Germain,131,"['9675acd2-244d-4f7d-b25d-9fe14d0799d8', 'fa5df502-6716-48ed-9c2d-e37cb4f6f002']",51,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:51.956,Carry,
,,,,,,"[50.7, 15.5]",,,,,,,,,,,,0.04,,,,,,,,,,,,,605991be-a5c0-4435-a496-1fb6b016f0b5,992,,"[50.6, 14.9]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Blaise Matuidi,4375.0,Left Center Midfield,34,Paris Saint-Germain,131,"['298c9360-5c3e-419d-b34e-b5f6c8bdb0d3', 'b46c8ba7-ab15-4561-ac77-95f786aab097']",53,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:53.636,Carry,
,,,,,,"[36.3, 26.5]",,,,,,,,,,,,0.989486,,,,,,,,,,,,,17b8b35f-4aa6-41f3-8c88-62d5462ad1a5,995,,"[38.2, 25.5]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['06773ae5-38bd-4af0-ba74-3d738e2cacb8', '528be1ef-6c3c-4ec2-82fe-a1f3614c78f7']",55,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:55.676,Carry,
,,,,,,"[34.2, 57.3]",,,,,,,,,,,,1.83374,,,,,,,,,,,,,9978423b-97ea-4c35-a689-312c396a628f,998,,"[36.3, 52.9]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Emiliano da Silva,3295.0,Right Center Back,34,Paris Saint-Germain,131,"['219621bd-0114-4d93-8bd1-a01fe3cdd836', '6ea3ad02-ad94-4262-8587-9648e3ae8f14', 'ccf2f3ac-9866-4464-aca9-991566eb2cd6']",58,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:58.428,Carry,True
