50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[26.7, 70.5]",,,,,,,,,,,,1.687133,,,,,,,,,,,,952c2920-4674-48d1-8a72-6ab7cc7aedb6,527,,"[25.7, 65.3]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alexandre Coeff,7428.0,Right Back,32,Montpellier,139,"['2a93f382-c868-43b9-83cf-adb9c4b9f3e4', '7d1708d7-199c-47b6-9b2c-2e0df53f765c', 'c82172f5-6bbd-4322-9259-7c298a6b89cb']",6,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:12:06.302,Carry,True
,,,,"[12.8, 29.7]",,,,,,,,,,,,3.240188,,,,,,,,,,,,d86c3e1a-84f5-4b0b-9084-6089376745bc,533,,"[12.8, 29.7]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Laurent Pionnier,40645.0,Goalkeeper,32,Montpellier,139,"['196c89e2-090c-428d-acd6-2e55c9c10bd7', 'b844f96b-7c20-4b77-91ec-4c9340167cd9']",16,,,,,,,,,,,,,,,,,Montpellier,139,00:12:16.570,Carry,
,,,,"[34.3, 41.3]",,,,,,,,,,,,2.307023,,,,,,,,,,,,e5e975a4-adcf-4fe9-8e4c-2879488355db,536,,"[27.4, 38.9]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,32,Montpellier,139,"['55b46138-0da0-45b8-a950-e9ccfba685a4', 'ba8836a4-e280-4201-82b6-1b4563c9d4e0', 'e3585bd7-c657-483d-8495-2aba31719158']",20,,,,,,,,,,,,,,,,,Montpellier,139,00:12:20.750,Carry,True
,,,,"[64.3, 57.6]",,,,,,,,,,,,0.80905,,,,,,,,,,,,57d0082a-a960-438d-ac3a-8070b5efa4f6,542,,"[62.7, 55.0]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Amos Youga,7389.0,Left Center Midfield,33,Gazélec Ajaccio,160,"['c051b8d5-52d4-4aef-9b53-e535ca1d83b4', 'e0193739-896b-485f-9bf7-a71703ba515a']",25,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:12:25.403,Carry,
,,,,"[84.5, 26.3]",,,,,,,,,,,,1.463588,,,,,,,,,,,,83da8f66-aa23-4473-9df7-466f5dbd606c,545,,"[84.8, 25.7]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Louis Poggi,310534.0,Right Center Midfield,33,Gazélec Ajaccio,160,"['bea2fc40-d137-4888-a613-67daad3c700b', 'e2be4cef-82bb-475e-8181-911884b16293']",28,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:12:28.159,Carry,
,,,,"[56.0, 33.8]",,,,,,,,,,,,1.103872,,,,,,,,,,,,0418784d-c04d-4efe-88f2-793721f8e59b,556,,"[61.5, 26.9]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jérôme Le Moigne,401507.0,Center Defensive Midfield,33,Gazélec Ajaccio,160,"['04a167b6-8f76-4374-ada9-882a37cf5e3a', '989e4de4-7b86-447d-b56d-a4596fba9f86']",39,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:12:39.984,Carry,
,,,,"[49.9, 52.5]",,,,,,,,,,,,1.357534,,,,,,,,,,,,7fe7bc54-7a7c-48ff-9227-fd4f6290a4cb,559,,"[45.4, 51.1]",3900536,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roderic Filippi,7808.0,Right Center Back,33,Gazélec Ajaccio,160,"['210fcf19-f74a-4887-a3b5-d98c71e3aa53', '83ac287b-a984-4c5b-88c4-b4fdcea96c50']",42,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:12:42.556,Carry,
,,,,"[54.0, 73.4]",,,,,,,,,,,,1.557886,,,,,,,,,,,,0150cf8a-05d8-456d-b8ee-c2c060d31aef,565,,"[54.0, 74.2]",3900536,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mustapha Yatabaré,30255.0,Center Forward,34,Montpellier,139,"['10afd295-c756-4dcc-915c-6a1d2d63842e', '6be01d8e-d9b4-4b90-9ce7-83605cd5a441', '9c9b1b58-9c5d-47d9-bffb-fb84be032f49']",0,,,,,,,,,,,,,,,,,Montpellier,139,00:13:00.622,Carry,True
,,,,"[49.0, 65.8]",,,,,,,,,,,,0.133476,,,,,,,,,,,,3e74dfcb-f2b6-4cee-8cfb-3d93ea5ebf96,568,,"[49.3, 66.2]",3900536,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ryad Boudebouz,6661.0,Right Wing,34,Montpellier,139,"['6eb170fc-1f20-4e62-acef-e3074e9bb2c9', '711b8fb7-db0d-44a9-8b6f-9fda0a9ff663']",2,,,,,,,,,,,,,,,,,Montpellier,139,00:13:02.756,Carry,
,,,,"[41.5, 73.7]",,,,,,,,,,,,1.688762,,,,,,,,,,,,175256c1-d1e7-4ac7-bdc2-030101a63730,571,,"[41.5, 73.7]",3900536,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bryan Dabo,3421.0,Right Back,34,Montpellier,139,"['58454faf-8ec5-4cf2-9678-bfa83f9923a0', '7dcb123b-f0a4-4fb9-9c50-76fb2ae04c4d']",3,,,,,,,,,,,,,,,,,Montpellier,139,00:13:03.931,Carry,
,,,,"[34.8, 69.3]",,,,,,,,,,,,0.188059,,,,,,,,,,,,4d0028f3-eefc-4bb6-96ba-f2f64996b028,577,,"[36.0, 70.3]",3900536,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bryan Dabo,3421.0,Right Back,34,Montpellier,139,"['11c7f4fb-e35a-4e0d-84ee-6e4bf9eee766', '2eca32ff-e3ba-43d9-a920-566242a9c701']",7,,,,,,,,,,,,,,,,,Montpellier,139,00:13:07.431,Carry,
