50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e31218f-e70d-419c-b3ef-df69af7277fc,1591,,"[93.5, 55.4]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Thomasson,3375.0,Right Center Midfield,97,Nantes,144,"['0fdba5a3-3d4b-4160-b646-fb51f237d0af', '877f4187-2f98-40cf-8f85-fe93aafa3da9']",40,,,,,,,,,,,,,,,,,Nantes,144,00:40:40.915,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8977a3d-1eee-4b86-9395-f309556e5501,1594,,"[93.5, 55.6]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolbeinn Sigþórsson,6284.0,Right Center Forward,97,Nantes,144,['8b6b0025-8e47-42e8-87f5-7dbf4a06859f'],44,,,,,,,,,,,,,,,,,Nantes,144,00:40:44.856,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,9856b782-0304-4944-8d72-67345c4daf5d,1600,,"[68.3, 66.7]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Steven Moreira,7197.0,Right Wing Back,98,Rennes,134,['0bd97ba0-8fd0-4148-8b4c-d1d14cce77f8'],16,,,,,,,,,,,,,,,,,Rennes,134,00:41:16.995,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,c32253c5-fb84-4ee7-a940-191657c92f8f,1603,,"[53.9, 25.2]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentin Rongier,3365.0,Left Center Midfield,99,Nantes,144,['b88fc5ff-9411-4025-90ca-51fbe59fb838'],17,,,,,,,,,,,,,,,,,Nantes,144,00:41:17.696,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0278adbd-6254-4d32-b1b3-f050d99899fb,1607,,"[39.0, 23.5]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lorik Agim Cana,10936.0,Left Center Back,99,Nantes,144,['342ec146-ef67-4760-b277-5b890cba5266'],20,,,,,,,,,,,,,,,,,Nantes,144,00:41:20.067,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,85b316b3-4849-40a2-be87-f371fbd37b02,1611,,"[71.7, 34.6]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolbeinn Sigþórsson,6284.0,Right Center Forward,99,Nantes,144,"['5f83b8c5-04a5-4dc0-944f-3e506c5b02cb', 'bcd5cf52-4871-418a-83da-f7bee9eeddd8']",22,,,,,,,,,,,,,,,,,Nantes,144,00:41:22.345,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46794f58-a0e2-4c33-aba4-ca96c36f8e6f,1615,,"[57.4, 22.2]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lorik Agim Cana,10936.0,Left Center Back,100,Nantes,144,['804a7c69-2ade-4477-be09-d3b16c88fec0'],54,,,,,,,,,,,,,,,,,Nantes,144,00:41:54.154,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,56a51b35-3a70-41a3-9107-691643ad55ba,1617,,"[76.4, 8.3]",3829460,41,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adryan Oliveira Tavares,31687.0,Center Attacking Midfield,100,Nantes,144,['9f2449f8-1a2d-4b77-87f9-9d7e0f38359c'],55,,,,,,,,,,,,,,,,,Nantes,144,00:41:55.521,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a56b787-37aa-4c57-8e68-e974ec69eb92,1620,,"[60.4, 27.1]",3829460,42,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lorik Agim Cana,10936.0,Left Center Back,100,Nantes,144,['119c2760-84c5-4bb1-ab07-707347079a31'],0,,,,,,,,,,,,,,,,,Nantes,144,00:42:00.939,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,4d124df8-b404-4f25-b05f-8c780446ca68,1623,,"[94.8, 5.5]",3829460,42,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Youssouf Sabaly,3404.0,Left Back,100,Nantes,144,['68b6ea32-1abf-4ed7-a28d-4a4637b88cac'],4,,,,,,,,,,,,,,,,,Nantes,144,00:42:04.934,Ball Receipt*,
