50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.887012,,,,,,,,,,,,,641fd770-e761-468e-b0f5-03edf0262323,1610,,,"[52.3, 75.4]",3879652,43,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,102,Hellas Verona,226,"['6e85624e-b6e7-4f08-a3f3-fe55a50bdfcb', '8fac0a2a-6b8f-4a38-abf9-eb78010e6172', '8ff5acd2-f2a8-4c0b-9954-44cf1777204a']",57,,,,,,,,,,,,,,,,,AC Milan,243,00:43:57.586,Pressure,
,,,,,,,,,,,,,,,,,,0.861556,,,,,,,,,,,,,59b6129f-bad8-4fac-a90d-3c8733b1e463,1614,,,"[66.4, 62.5]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,102,Hellas Verona,226,"['501cf5c6-73ac-48c3-8f3f-97827ab4c1b5', 'fc04ec68-9b75-4622-8cdb-0b44aed3383b']",2,,,,,,,,,,,,,,,,,AC Milan,243,00:44:02.440,Pressure,
,,,,,,,,,,,,True,,,,,,2.093463,,,,,,,,,,,,,c0f21926-e68c-4a83-891a-bcf6d9e0ad56,1628,,,"[19.6, 48.3]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Vangelis Moras,31488.0,Left Center Back,103,AC Milan,243,"['01bd0e14-7b17-4fb0-8198-0fbc880959c3', 'd30c07e8-92eb-42d9-a097-80f067b6740d']",12,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:12.740,Pressure,
,,,,,,,,,,,,,,,,,,0.973368,,,,,,,,,,,,,89ba3b56-bdc3-4d10-bb1b-dcf146de4ea4,1631,,,"[11.5, 50.8]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Federico Viviani,7770.0,Right Defensive Midfield,103,AC Milan,243,['01bd0e14-7b17-4fb0-8198-0fbc880959c3'],15,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:15.009,Pressure,
,,,,,,,,,,,,True,,,,,,0.865894,,,,,,,,,,,,,0973ee31-3a1b-4a92-b4a1-e13529458c1e,1637,,,"[85.8, 47.1]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nigel de Jong,20057.0,Right Defensive Midfield,104,Hellas Verona,226,['a25dede6-e6be-4dfc-8e2e-78a00c3ae0ea'],19,,,,,,,,,,,,,,,,,AC Milan,243,00:44:19.344,Pressure,
,,,,,,,,,,,,,,,,,,1.319209,,,,,,,,,,,,,c221621f-5afa-472d-a59c-aef52d3a4a43,1646,,,"[73.4, 14.2]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mattia De Sciglio,6944.0,Left Back,104,Hellas Verona,226,"['9e09daf8-85be-4e38-b66f-2b2f5bae14ed', 'eb2bcd21-e0d4-4c23-9ccf-31604f4cadb2']",28,,,,,,,,,,,,,,,,,AC Milan,243,00:44:28.104,Pressure,
,,,,,,,,,,,,True,,,,,,1.34914,,,,,,,,,,,,,26f94842-ec95-4679-96c6-6d8e34b78d5d,1661,,,"[55.3, 13.3]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Siligardi,11494.0,Left Midfield,104,Hellas Verona,226,"['201df0e9-a44f-4d6d-a908-01e5ef6e686e', '5c1940cb-4fff-43da-bf16-9d1f52d16eeb']",50,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:50.004,Pressure,
,,,,,,,,,,,,,,,,,,0.726167,,,,,,,,,,,,,a2469093-ec7b-49b1-9b1f-25dd40ab282f,1667,,,"[87.1, 57.3]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,104,Hellas Verona,226,"['4ff7c725-a9c7-4ef2-b8da-a210159d97f3', 'a3059202-4767-4915-8ad4-b04ea3f24f6f']",54,,,,,,,,,,,,,,,,,AC Milan,243,00:44:54.590,Pressure,
,,,,,,,,,,,,,,,,,,0.731537,,,,,,,,,,,,,a28fc081-c665-474d-bcf1-ea327030f419,1671,,,"[86.9, 46.3]",3879652,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,104,Hellas Verona,226,"['25f76364-2cb3-4f18-bbcc-ee8902bfa687', '728d1d89-db9c-4729-968f-8a75f678c488']",57,,,,,,,,,,,,,,,,,AC Milan,243,00:44:57.067,Pressure,
,,,,,,,,,,,,,,,,,,0.589312,,,,,,,,,,,,,e45339f9-7f53-4e27-8682-cab16a8fe7be,1683,,,"[69.3, 34.8]",3879652,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,105,Hellas Verona,226,"['39a8ca79-dce0-41a6-8694-e071ad9de0f4', '994052e6-b757-451d-a2b8-5b4d96990cfe']",2,,,,,,,,,,,,,,,,,AC Milan,243,00:00:02.512,Pressure,
