50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[40.5, 7.3]",,,,,,,,,,,,0.87832,,,,,,,,,,,,,4d588a57-5530-40f9-b3e4-9ed694b38a63,1106,,"[39.1, 7.0]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,51,Wolfsburg,179,"['daa0c8ae-9569-4d5f-9279-b316b1b90025', 'e186a793-2cc9-4527-b57a-57458b326607']",51,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:51.841,Carry,
,,,,,"[49.8, 19.4]",,,,,,,,,,,,0.34369,,,,,,,,,,,,,4b6bc2f5-46e2-49cb-bfb2-558224914292,1109,,"[50.9, 19.4]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,51,Wolfsburg,179,"['01e87559-d34a-4068-9d29-b49a818d766d', 'c22fe8ee-45c7-4445-bceb-b217900f1ba9']",54,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:54.073,Carry,
,,,,,"[34.6, 22.5]",,,,,,,,,,,,0.04,,,,,,,,,,,,,db22d315-088d-4876-ae0c-4f210cf70a24,1112,,"[35.0, 25.5]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dante Bonfim da Costa Santos,3197.0,Left Center Back,51,Wolfsburg,179,"['6c12f473-0c9d-446a-b339-d92a754992ba', '818f0efc-2320-4720-b369-3e8309a9b2fd']",55,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:55.654,Carry,
,,,,,"[37.8, 15.3]",,,,,,,,,,,,1.875914,,,,,,,,,,,,,16492194-e7b8-479e-891d-c5c928c425e3,1115,,"[36.8, 8.7]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,51,Wolfsburg,179,"['1dd39a9f-25c6-4ba7-a2ec-7dd254640f54', 'f0b05a31-d6d8-4035-89d5-1e0d3e7799d4']",57,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:57.169,Carry,
,,,,,"[42.9, 39.9]",,,,,,,,,,,,1.273981,,,,,,,,,,,,,aafd9f65-ca90-453f-b08d-eefe968709cb,1118,,"[40.3, 39.9]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,51,Wolfsburg,179,"['0f3613da-e8e7-436f-a2fb-a1f23db3eb2d', '4b93e42e-b793-4354-88dd-b3a8c0564987']",0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:24:00.440,Carry,
,,,,,"[85.1, 73.9]",,,,,,,,,,,,2.190122,,,,,,,,,,,,,10805622-1d0b-4612-bf94-458c06d0dc9a,1121,,"[71.4, 75.7]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,51,Wolfsburg,179,"['2444bea7-64b8-41a9-8451-4b852dbf2d95', '76fd1892-4c97-4fe5-b5c1-406dc8a11fb3']",4,,,,,,,,,,,,,,,,,Wolfsburg,179,00:24:04.179,Carry,
,,,,,"[83.4, 61.8]",,,,,,,,,,,,3.174362,,,,,,,,,,,,,b3924656-8d22-4501-b5fb-f698e7ed267e,1124,,"[84.4, 63.2]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Caligiuri,8521.0,Right Midfield,51,Wolfsburg,179,"['116b549f-e058-41bf-ad5b-046d918de84c', '9288996b-4881-492a-baa5-b3f7f07df4e0', '98eebc7b-4e1e-450e-a31e-0521130c0e72']",7,,,,,,,,,,,,,,,,,Wolfsburg,179,00:24:07.414,Carry,True
,,,,,"[70.0, 48.5]",,,,,,,,,,,,1.390079,,,,,,,,,,,,,fd2acf03-d15d-417b-b48b-f2536ae4d704,1128,,"[71.8, 52.2]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,51,Wolfsburg,179,"['5fc4de1e-85df-49d5-b724-a20a4975692a', 'e00d8a3e-cd7a-44b9-8ee9-d83b00218d16']",11,,,,,,,,,,,,,,,,,Wolfsburg,179,00:24:11.698,Carry,
,,,,,"[78.3, 4.6]",,,,,,,,,,,,0.039999,,,,,,,,,,,,,ef4276df-083e-4f17-b20a-2368d5a896a9,1131,,"[78.3, 4.6]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,51,Wolfsburg,179,"['b1f25627-3a4d-42a2-8c2e-dd57fe66a992', 'db8f8689-b37a-4b1d-8878-7e3ca92bb63e']",15,,,,,,,,,,,,,,,,,Wolfsburg,179,00:24:15.282,Carry,
,,,,,"[48.3, 2.8]",,,,,,,,,,,,0.924832,,,,,,,,,,,,,62193169-584a-406e-abe5-09508bea1e37,1137,,"[47.5, 2.8]",3890535,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Philipp Max,8319.0,Left Back,52,Augsburg,172,"['176669b8-f31e-442a-9afe-9aa54057f5fc', 'fda173b4-f6cd-435d-86b1-9eb15f226c8b', 'ff9723ab-a59c-404a-bbb5-9877872fcf23']",36,,,,,,,,,,,,,,,,,Augsburg,172,00:24:36.860,Carry,True
