50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.375158,,,,,,,,,,,,a56fd1f6-3818-4265-aed0-8148fe999728,159,,"[42.7, 67.4]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Haris Seferović,5543.0,Right Center Forward,7,Hamburger SV,171,"['04eb48dc-a077-4a86-b02c-df40aa4fbc85', '53d0f1ae-03ac-4bda-b78d-9e0be9a4055e']",9,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:03:09.509,Pressure,
,,,,,,,,,,,,,,,,,0.717235,,,,,,,,,,,,0e71d35e-7f0c-4c0c-9888-ecb2a1bb1c66,165,,"[36.2, 74.1]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aleksandar Ignjovski,9134.0,Right Back,8,Hamburger SV,171,"['3eb9ff9a-4ebd-4aa2-897d-9fab6cbbc5f6', '685ee40e-e877-4d2a-a6b5-afa0f5043869', 'f8906ff1-6438-4484-9c79-ef25edbe6731']",20,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:03:20.153,Pressure,
,,,,,,,,,,,,,,,,,0.71407,,,,,,,,,,,,fe4d9418-9d46-44b2-932a-cf9075ebefef,171,,"[112.2, 12.3]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aaron Hunt,8308.0,Center Attacking Midfield,8,Hamburger SV,171,"['21e18147-7a12-49f0-b851-c57e0c1fb072', 'd2d4e819-ab6d-49ec-ae25-46993d4ce0c6']",25,,,,,,,,,,,,,,,,Hamburger SV,171,00:03:25.246,Pressure,
,,,,,,,,,,,,,,,,,0.517719,,,,,,,,,,,,0baa3735-0d76-460f-b498-d4f17a64bae8,178,,"[71.7, 26.9]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gojko Kačar,9407.0,Right Defensive Midfield,9,Eintracht Frankfurt,184,"['493449e9-66f7-4fa7-98a4-6f78ae6b3024', 'b7e76b4d-8bb4-4283-b5bf-582eadbdb155']",31,,,,,,,,,,,,,,,,Hamburger SV,171,00:03:31.983,Pressure,
,,,,,,,,,,,,,,,,,0.935511,,,,,,,,,,,,440364b4-69ca-4606-b4df-7382e72dd8cd,192,,"[9.5, 13.7]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matthias Ostrzolek,8547.0,Left Back,9,Eintracht Frankfurt,184,['9fb93fa3-6f8e-4484-bbc6-e13d750684a5'],46,,,,,,,,,,,,,,,,Hamburger SV,171,00:03:46.985,Pressure,
,,,,,,,,,,,,,,,,,0.461712,,,,,,,,,,,,a6300761-8e01-4ea0-be1a-e41dc0208d5b,207,,"[28.7, 19.8]",3890297,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Aaron Hunt,8308.0,Center Attacking Midfield,11,Eintracht Frankfurt,184,['ae190232-18ac-4154-9b2e-44639458931f'],58,,,,,,,,,,,,,,,,Hamburger SV,171,00:04:58.221,Pressure,
,,,,,,,,,,,,,,,,,1.397443,,,,,,,,,,,,bc0af963-0a31-464e-8d80-dd96eff08199,211,,"[24.9, 12.9]",3890297,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Matthias Ostrzolek,8547.0,Left Back,11,Eintracht Frankfurt,184,['7bc17565-3a0b-4739-a4f8-3d4573482e9f'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:05:00.089,Pressure,
,,,,,,,,,,,,,,,,,0.702758,,,,,,,,,,,,3630349f-ca71-4655-ae61-415a0186118c,215,,"[70.2, 33.7]",3890297,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Pierre-Michel Lasogga,8895.0,Center Forward,11,Eintracht Frankfurt,184,"['37052869-f056-474b-928f-875d738d6dc9', 'f6775b81-d612-4cd0-886a-1f56ff5f8d2a']",5,,,,,,,,,,,,,,,,Hamburger SV,171,00:05:05.985,Pressure,
,,,,,,,,,,,,,,,,,0.51199,,,,,,,,,,,,97473778-7a3b-4f44-9483-6475dccea580,234,,"[49.5, 68.2]",3890297,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Makoto Hasebe,5681.0,Right Center Midfield,12,Hamburger SV,171,['ffcc5ccc-5fa6-4861-a9a4-2c7fd7211637'],32,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:05:32.253,Pressure,
,,,,,,,,,,,,,,,,,1.481792,,,,,,,,,,,,e62a03e4-dca5-44b9-99cd-8f6bdd6ef336,249,,"[21.8, 31.0]",3890297,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Makoto Hasebe,5681.0,Right Center Midfield,12,Hamburger SV,171,"['2d8d0a48-fa73-45c2-afb1-37b5ea9e8806', 'bbf2d814-925b-45a7-9ed9-c10324820ae9']",45,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:05:45.782,Pressure,
