50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,38c6227f-bb33-4a30-965b-ede7fe9ec6b0,1979,,,"[16.6, 43.6]",3890426,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jeong-Ho Hong,40543.0,Right Center Back,123,Eintracht Frankfurt,184,['087eb907-290b-4ba1-ac2f-8510d3b521c8'],2,,,,,,,,,,,,,,,,,,Augsburg,172,00:14:02.791,Duel,True
,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,88afeea4-4858-4e49-ad37-b5c123616cac,1988,,,"[105.5, 36.1]",3890426,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marc Stendera,10896.0,Left Defensive Midfield,123,Eintracht Frankfurt,184,['8ba7f933-0332-4394-9d79-b60b23cae482'],4,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:14:04.946,Duel,True
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,e3b81cc3-57bb-4b56-8798-15bd87cbb78d,1999,,,"[5.8, 42.0]",3890426,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ragnar Klavan,4174.0,Left Center Back,123,Eintracht Frankfurt,184,['3bb3bb1b-a99d-4bc2-986e-cc16be732695'],11,,,,,,,,,,,,,,,,,,Augsburg,172,00:14:11.823,Duel,True
,,,,,,,,,,,True,,,,Won,Tackle,0.0,,,,,,,,,,,,,7b795aba-dce2-4e7d-b76e-22fbaf0c6746,2012,,,"[97.3, 46.6]",3890426,59,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Marc Stendera,10896.0,Left Defensive Midfield,124,Eintracht Frankfurt,184,['b6ce97c6-2f5c-41ad-a55a-041ec408080f'],45,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:14:45.693,Duel,True
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,1278a06f-1691-4854-b2ad-ff3d2a74260a,2039,,,"[88.7, 22.0]",3890426,62,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Szabolcs Huszti,18888.0,Left Wing,127,Eintracht Frankfurt,184,['6aadcdd9-c2ff-4633-93bc-88d5ef6fd4d7'],30,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:17:30.697,Duel,True
,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,4985df96-3d01-435b-a5e8-3d763f1b818a,2101,,,"[40.1, 56.1]",3890426,63,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dominik Kohr,8207.0,Right Defensive Midfield,128,Augsburg,172,['511602fb-d0fc-4586-a3c4-2d83b93b58c1'],16,,,,,,,,,,,,,,,,,,Augsburg,172,00:18:16.777,Duel,True
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,f172ca90-f642-4a6b-b183-833e063b0210,2122,,,"[56.7, 74.8]",3890426,64,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Stefan Aigner,21156.0,Right Wing,129,Augsburg,172,['6672ff37-790e-4580-9bf0-f9f0afcc22a5'],14,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:19:14.079,Duel,True
,,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,,4b5f63c4-bafd-4653-8cdf-078037245d8f,2145,,,"[16.0, 7.4]",3890426,64,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raúl Marcelo Bobadilla,8807.0,Center Forward,131,Eintracht Frankfurt,184,['529a1f7d-a0ba-456a-9c80-67611e05c833'],53,,,,,,,,,,,,,,,,,,Augsburg,172,00:19:53.778,Duel,True
,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,c3f38fd2-3212-4b77-bb08-25a718e5029e,2160,,,"[21.8, 4.6]",3890426,64,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Dong-Won Ji,12302.0,Left Wing,131,Eintracht Frankfurt,184,['63efb5aa-c3ad-41bc-bd8f-0ca1b6f9f26f'],58,,,,,,,,,,,,,,,,,,Augsburg,172,00:19:58.440,Duel,True
,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,b6e76752-b977-4258-9506-380d03302b4a,2172,,,"[9.7, 14.9]",3890426,65,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dominik Kohr,8207.0,Right Defensive Midfield,132,Eintracht Frankfurt,184,['e374dd3b-9ea3-46d0-a76a-98163bea08ed'],17,,,,,,,,,,,,,,,,,,Augsburg,172,00:20:17.194,Duel,True
