50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.034856,,,,,,,,,,,,,2adbcae5-7ce7-49eb-a775-4febc6573c66,2321,,,"[53.0, 42.0]",3890410,67,,,,,-1.661116,,Right Foot,,,"[50.6, 15.5]",,Ground Pass,,26.608458,,,Oscar Wendt,8809.0,,,,,,2,From Kick Off,Håvard Nordtveit,8395.0,Center Defensive Midfield,130,Borussia Mönchengladbach,185,['5cc5db5b-ddc1-4c79-9b2d-323fb08d52da'],28,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:28.514,Pass,
,,,,,,,,,,,,,,,,,1.173189,,,,,,,,,,,,,06f5700f-56a6-45d0-8950-b135e14a299c,2324,,,"[52.4, 16.3]",3890410,67,,,,,0.0,,Left Foot,,,"[65.1, 16.3]",,Ground Pass,,12.7,,,Fabian Johnson,11283.0,,,,,,2,From Kick Off,Oscar Wendt,8809.0,Left Back,130,Borussia Mönchengladbach,185,['d1fe7866-b1f4-4cdc-a2c0-b5b17b76b7f4'],31,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:31.533,Pass,
,,,,,,,,,,,,,,,,,1.126984,,,,,,,,,,,,,6a3bf78c-62a5-4e7a-bb65-b02896397ee5,2327,,,"[65.8, 16.5]",3890410,67,,,,,2.9660006,,Left Foot,,,"[41.0, 20.9]",,Low Pass,,25.187298,,,Nico Elvedi,8814.0,,,,,,2,From Kick Off,Fabian Johnson,11283.0,Left Center Midfield,130,Borussia Mönchengladbach,185,['87e726b7-83af-4643-ab5b-42ceb3eab7a0'],33,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:33.696,Pass,
,,,,,,,,,,,,,,,,,0.825772,,,,,,,,,,,,,1a514d62-0977-4ae8-9216-1e3925ae6f3b,2330,,,"[41.0, 20.9]",3890410,67,,,,,-0.7419473,,Right Foot,,,"[49.4, 13.2]",,Ground Pass,,11.395174,,,Håvard Nordtveit,8395.0,,,,,,2,From Kick Off,Nico Elvedi,8814.0,Left Center Back,130,Borussia Mönchengladbach,185,['b8036fef-0f1d-465d-a076-d150e7c87793'],35,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:35.935,Pass,
,,,,,,,,,,,,,,,,,0.95759,,,,,,,,,,,,,a670dddd-286e-4644-baeb-dff47f408e79,2333,,,"[46.2, 15.3]",3890410,67,,,,,2.639686,,Left Foot,,,"[38.0, 19.8]",,Ground Pass,,9.353609,,,Nico Elvedi,8814.0,,,,,,2,From Kick Off,Håvard Nordtveit,8395.0,Center Defensive Midfield,130,Borussia Mönchengladbach,185,['4492183a-9d79-4319-b2dc-e21b1006d7a3'],38,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:38.858,Pass,
,,,,,,,,,,,,,,,,,1.930803,,,,,,,,,,,,,3f2ba5ce-5cfa-4334-ab06-03d7ade7a05e,2337,,,"[38.0, 19.8]",3890410,67,,,,,2.5113988,,Right Foot,,,"[12.5, 38.4]",,Ground Pass,,31.562794,,,Yann Sommer,5550.0,,,,,,2,From Kick Off,Nico Elvedi,8814.0,Left Center Back,130,Borussia Mönchengladbach,185,"['16e4d4bc-aad3-4530-bdf7-39ca16b7e343', 'e6197d14-47fe-4a18-bbde-d5f7d77213c2']",40,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:40.731,Pass,True
,,,,,,,,,,,,,,,,,1.542723,,,,,,,,,,,,,04e69ee5-c2fb-4b42-966b-885108f43a4f,2340,,,"[13.3, 36.8]",3890410,67,,,,,-1.1014777,,Right Foot,,,"[24.0, 15.7]",,Ground Pass,,23.65798,,,Nico Elvedi,8814.0,,,,,,2,From Kick Off,Yann Sommer,5550.0,Goalkeeper,130,Borussia Mönchengladbach,185,['e12adfaf-d357-4c1f-8187-c7180968a8e2'],43,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:43.045,Pass,
,,,,,,,,,,,,,,,,,2.024245,,,,,,,,,,,,,c4b014ba-3458-4d13-866a-659904c70b4a,2344,,,"[28.1, 7.2]",3890410,67,,,,,0.28757584,,Left Foot,,,"[63.6, 17.7]",,High Pass,,37.020264,Incomplete,,Raffael Caetano de Araújo,8810.0,,,,,,2,From Kick Off,Nico Elvedi,8814.0,Left Center Back,130,Borussia Mönchengladbach,185,"['2b688192-a6a3-459f-b359-81bcd40349e3', '8a0143d3-a1bd-4b9c-bc58-857c28dc81af', 'df62651c-0117-480b-b40a-da7bfb830738']",46,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:46.815,Pass,True
,,,,,,,,,,,,,,,,,0.921135,,,,,,,,,,,,,00643daa-8ecb-4c67-bfd8-0e842839d5a3,2353,,,"[46.0, 20.1]",3890410,67,,,,,-0.75092906,,Right Foot,,,"[49.0, 17.3]",,Ground Pass,,4.103657,,,Fabian Johnson,11283.0,,,,,Recovery,2,From Kick Off,Håvard Nordtveit,8395.0,Center Defensive Midfield,130,Borussia Mönchengladbach,185,['d309d467-a387-46c6-9d5b-246d22972dc8'],51,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:51.666,Pass,
,,,,,,,,,,,,,,,,,1.152104,,,,,,,,,,,,,5d85db65-5a82-49b6-bbc6-47b737d68757,2355,,,"[49.0, 17.3]",3890410,67,,,,,1.7225615,,Left Foot,,,"[46.4, 34.3]",,Ground Pass,,17.197674,,,Lars Edi Stindl,8806.0,,,,,,2,From Kick Off,Fabian Johnson,11283.0,Left Center Midfield,130,Borussia Mönchengladbach,185,['ba5272a4-8868-404f-a06f-92353e0af2ce'],52,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:52.587,Pass,
