bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.72,,,,,,,,,,,,b6c07294-703b-441a-8bb6-81b650c2a612,115,,"[63.9, 28.7]",3825631,1,,,,,2.38195,,Left Foot,,,,"[42.0, 49.5]",,Ground Pass,,30.203476,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,Regular Play,Alberto De La Bella Madureño,6674.0,Left Back,7,Real Sociedad,210,['bf94ce78-2e65-49f5-a9b3-1932c8080a07'],58,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:58.278,Pass,
,,,,,,,,,,,,,,,,2.879995,,,,,,,,,,,,e4ddd4dc-9b05-453b-b32a-0bf6da7c4e6e,118,,"[11.5, 51.6]",3825631,2,,,,,0.0,,Left Foot,,,,"[11.5, 51.6]",,Ground Pass,,0.0,,,,Gerónimo Rulli,6694.0,,,,,,1,Regular Play,Íñigo Martínez Berridi,6665.0,Left Center Back,7,Real Sociedad,210,['6713b7b5-3fea-4a4b-9a56-5b2dd0688a61'],2,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:02.118,Pass,
,,,,,,,,,,,,,,,,3.559996,,,,,,,,,,,,ad00c9b3-0a13-413d-a02d-d9ceef7152e9,121,,"[11.5, 51.6]",3825631,2,,,,,0.4286968,,Right Foot,,,,"[69.7, 78.2]",,High Pass,,63.990623,,,,Joseba Zaldúa Bengoetxea,6605.0,,,,,,1,Regular Play,Gerónimo Rulli,6694.0,Goalkeeper,7,Real Sociedad,210,['0bb321a5-6a96-4641-b5eb-7064986837dd'],8,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:08.238,Pass,
,,,,,,,,,,,,,,,,2.036421,,,,,,,,,,,,fb663198-48b0-4353-8193-af875d0ca354,124,,"[69.7, 78.0]",3825631,2,,,,True,0.05690054,,,,,,"[85.5, 78.9]",,High Pass,,15.825612,,,,David Zurutuza Veillet,6669.0,,,,,,1,Regular Play,Joseba Zaldúa Bengoetxea,6605.0,Right Back,7,Real Sociedad,210,"['2a158049-a899-43f0-ad33-9d85532efd70', 'a795ff96-38d5-47ea-a5da-e4913a1da6ad']",11,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:11.798,Pass,True
,,,,,,,,,,,,,,,,1.366802,,,,,,,,,,,,65d30a91-d333-43c4-b5aa-f7ad7c3baef1,128,,"[38.4, 0.1]",3825631,2,,,,,2.5688393,,,,,,"[27.7, 7.0]",,Low Pass,,12.73185,,,,Tiago Cardoso Mendes,20669.0,,,,,Throw-in,1,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,8,Atlético Madrid,212,['935301f2-30b6-4ffb-ba9a-f9d20c8512aa'],23,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:02:23.594,Pass,
,,,,,,,,,,,,,,,,4.356596,,,,,,,,,,,,182f9090-4df4-44f6-b3cb-86249a3bf57d,131,,"[28.0, 7.7]",3825631,2,,,,,1.6877894,,Right Foot,,,,"[22.1, 57.9]",,High Pass,,50.545525,,,,Juan Francisco Torres Belén,6375.0,,True,,,,1,From Throw In,Tiago Cardoso Mendes,20669.0,Left Defensive Midfield,8,Atlético Madrid,212,['a9cb32a6-77c5-4cfb-8959-9edf9124f57e'],26,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:02:26.879,Pass,
,,,,,,,,,,,,,,,,1.144264,,,,,,,,,,,,54fc9ffa-9b4d-44f0-807c-1bc4555cf4c4,134,,"[23.5, 68.8]",3825631,2,,,,,-1.0756631,,Right Foot,,,,"[31.6, 53.8]",,Ground Pass,,17.047287,,,,Gabriel Fernández Arenas,6384.0,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,8,Atlético Madrid,212,['2102c5b7-4d7f-4cb0-8fe4-0d9b5c678a0d'],32,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:02:32.851,Pass,
,,,,,,,,,,,,,,,,1.298508,,,,,,,,,,,,de1391bf-7c25-4ca6-8043-01ae3fd77814,137,,"[36.7, 61.6]",3825631,2,,,,,-0.73401487,,Right Foot,,,,"[55.1, 45.0]",,Ground Pass,,24.781445,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,8,Atlético Madrid,212,['c50ce3e4-abca-4f52-84b8-a042eb46408b'],35,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:02:35.848,Pass,
,,,,,,,,,,,,,,,,1.18124,,,,,,,,,,,,e776fdd4-e13d-495f-9dc1-18770bc7ba2c,140,,"[48.4, 42.2]",3825631,2,,,,,-0.14543061,,Right Foot,,,,"[68.2, 39.3]",,High Pass,,20.011248,,Incomplete,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Center Forward,8,Atlético Madrid,212,"['4813d557-cfbc-4bcf-b694-edef54998fe6', 'c4d4279a-3811-48b0-9756-51e56e1b92a0']",38,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:02:38.376,Pass,
,,,,,,,,,,,,,,,,1.843435,,,,,,,,,,,,4813d557-cfbc-4bcf-b694-edef54998fe6,142,,"[51.9, 40.8]",3825631,2,,,,,0.6967423,,Head,,,,"[56.8, 44.9]",,Low Pass,,6.3890533,,,,Markel Bergara Larrañaga,6633.0,,,,,Recovery,1,Regular Play,Diego Antonio Reyes Rosales,16539.0,Right Center Back,9,Real Sociedad,210,"['6c768298-9127-4bba-a8d7-806d255c467b', 'e776fdd4-e13d-495f-9dc1-18770bc7ba2c']",39,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:39.557,Pass,
