50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.326184,,,,,,,,,,,,,,da5c3c08-027f-43a3-a5cc-561ab31aa27d,1008,,"[71.5, 44.3]",3825826,28,,True,,,1.6314695,,Right Foot,,,,"[70.2, 65.7]",Ground Pass,,21.43945,,,,,Raúl Albentosa Redal,6727.0,,,,,,Free Kick,1,From Free Kick,José Luis García del Pozo,6580.0,Right Defensive Midfield,52,Málaga,223,['f7634d0f-59b7-4be0-90aa-6a187490c163'],0,,,,,,,,,,,,,,,,,Málaga,223,00:28:00.238,Pass,
,,,,,,,,,,,,,,,,5.521428,,,,,,,,,,,,,,07399bbf-1516-4f2e-b30d-ecd3db01e140,1010,,"[76.6, 69.9]",3825826,28,,,,,-0.94537205,,Right Foot,,,,"[120.0, 9.8]",High Pass,,74.13211,,,Out,,,,,,True,,,,1,From Free Kick,Raúl Albentosa Redal,6727.0,Right Center Back,52,Málaga,223,,3,,,,,,,,,,,,,,,,,Málaga,223,00:28:03.948,Pass,
,,,,,,,,,,,,,,,,3.594096,,,,,,,,,,,,,,025f88f6-6b92-4610-93ae-2304b2b3b9ad,1011,,"[7.0, 44.1]",3825826,28,,,,,0.08402832,,Right Foot,,,,"[72.3, 49.6]",High Pass,,65.53121,,,,,Youssef El-Arabi,27109.0,,,,,,Goal Kick,1,From Goal Kick,Andrés Eduardo Fernández Moreno,8697.0,Goalkeeper,53,Granada,1049,['fecf178b-0b20-4129-a84e-54388b4864d5'],29,,,,,,,,,,,,,,,,,Granada,1049,00:28:29.389,Pass,
,,,,,,,,,,,,,,,,1.261741,,,,,,,,,,,,,,2ad8baa7-1767-440f-9af9-7c7e7f4b28f5,1013,,"[72.3, 49.6]",3825826,28,,,,,2.8328283,,Head,,,,"[60.7, 53.3]",High Pass,,12.175796,,,,,Abdoulaye Doucouré,3292.0,,,,,,,1,From Goal Kick,Youssef El-Arabi,27109.0,Center Forward,53,Granada,1049,['182708b6-0573-4760-a400-028ee22b83c6'],32,,,,,,,,,,,,,,,,,Granada,1049,00:28:32.983,Pass,
,,,,,,,,,,,,,,,,0.978803,,,,,,,,,,,,,,9b96deca-1485-491d-9be9-b6c6e69ede2c,1015,,"[60.7, 53.3]",3825826,28,,,,,0.24756263,,Head,,,,"[69.8, 55.6]",Low Pass,,9.38616,,,,,Rubén Rochina Naixes,6680.0,,,,,,,1,From Goal Kick,Abdoulaye Doucouré,3292.0,Left Defensive Midfield,53,Granada,1049,['2e1d01b5-d7ef-446b-b042-d8d439a97ab4'],34,,,,,,,,,,,,,,,,,Granada,1049,00:28:34.245,Pass,
,,,,,,,,,,,,,,,,1.145752,,,,,,,,,,,,,,68b5d635-950b-4f20-8023-a28278a8114e,1018,,"[69.8, 55.6]",3825826,28,,,,,-2.0655954,,Left Foot,,,,"[62.3, 41.7]",High Pass,,15.794303,,,,,Abdoulaye Doucouré,3292.0,,,,,,,1,From Goal Kick,Rubén Rochina Naixes,6680.0,Center Attacking Midfield,53,Granada,1049,['c7e82403-3858-4ca9-93ed-d2c226c10927'],35,,,,,,,,,,,,,,,,,Granada,1049,00:28:35.389,Pass,
,,,,,,,,,,,,,,,,2.196269,,,,,,,,,,,,,,0d3d3c88-7cfa-47b8-8ea3-904111c64f48,1021,,"[58.2, 35.0]",3825826,28,,,,,-1.247791,,Left Foot,,,,"[66.2, 11.1]",Ground Pass,,25.203373,,,,,Cristiano Biraghi,7158.0,,,,,,,1,From Goal Kick,Abdoulaye Doucouré,3292.0,Left Defensive Midfield,53,Granada,1049,['8812d392-da9c-4c96-8e5f-9568ac162f8b'],37,,,,,,,,,,,,,,,,,Granada,1049,00:28:37.881,Pass,
,,,,,,,,,,,,,,,,0.735404,,,,,,,,,,,,,,291ffa07-2996-43be-aa68-dbe2a5768d61,1024,,"[73.5, 6.5]",3825826,28,,,,,2.3815055,,Left Foot,,,,"[65.4, 14.2]",Ground Pass,,11.175867,,,,,Abdoulaye Doucouré,3292.0,,,,,,,1,From Goal Kick,Cristiano Biraghi,7158.0,Left Back,53,Granada,1049,['6817b8a5-5622-4371-8e33-8536e01493b0'],42,,,,,,,,,,,,,,,,,Granada,1049,00:28:42.277,Pass,
,,,,,,,,,,,,,,,,1.394491,,,,,,,,,,,,,,964c2f1d-88ae-425a-a881-560e048fe57d,1027,,"[68.0, 19.7]",3825826,28,,,,,2.7250566,,Right Foot,,,,"[51.5, 27.0]",Low Pass,,18.042727,,,,,Ricardo Miguel Moreira da Costa,19454.0,,,,,,,1,From Goal Kick,Abdoulaye Doucouré,3292.0,Left Defensive Midfield,53,Granada,1049,['d793cae4-7860-4295-b693-16b7ae29817f'],45,,,,,,,,,,,,,,,,,Granada,1049,00:28:45.698,Pass,
,,,,,,,,,,,,,,,,1.596652,,,,,,,,,,,,,,8c9a64fa-5f3e-45a8-a6af-c9ac5ce364f5,1030,,"[51.9, 28.4]",3825826,28,,,,,-1.1071488,,Right Foot,,,,"[64.2, 3.8]",Ground Pass,,27.503635,,,,,Cristiano Biraghi,7158.0,,,,,,,1,From Goal Kick,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,53,Granada,1049,['6d0f4c2d-28f2-4bc5-9fc1-96f0b5771966'],49,,,,,,,,,,,,,,,,,Granada,1049,00:28:49.885,Pass,
