ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.856396,,,,,,,,,,,,,6b2d662d-a831-4f63-aa87-723d22875df7,1960,,"[56.3, 63.1]",3825636,52,,,,,-1.6150712,,Right Foot,,,"[55.6, 47.3]",Ground Pass,,15.815498,,,,José Luis García del Pozo,6580.0,,,,,,2,Regular Play,Fernando Damián Tissone,19431.0,Left Defensive Midfield,141,Málaga,223,"['523f5a94-1a35-4476-b264-c9eb9bd91f9b', '60be8dda-56fb-4faf-816b-13776461bd14', 'f03a5b62-cd2e-4f1e-8b8b-ef2558e53f5c']",47,,,,,,,,,,,,,,,,,Málaga,223,00:07:47.160,Pass,True
,,,,,,,,,,,,,,,1.871213,,,,,,,,,,,,,2a662464-bece-4f6e-939b-041e7afcfa92,1962,,"[55.6, 47.3]",3825636,52,,,,,2.495135,,Right Foot,,,"[34.0, 63.6]",Ground Pass,,27.060118,,,,Raúl Albentosa Redal,6727.0,,,,,,2,Regular Play,José Luis García del Pozo,6580.0,Right Defensive Midfield,141,Málaga,223,['f7c6a3f9-c9b7-4dc1-9cb7-61f8be01a545'],48,,,,,,,,,,,,,,,,,Málaga,223,00:07:48.017,Pass,
,,,,,,,,,,,,,,,1.234955,,,,,,,,,,,,,6f4106c5-3e97-46f7-aec0-16f9928c8570,1965,,"[33.6, 63.1]",3825636,52,,,,,-1.9234649,,Right Foot,,,"[28.3, 48.7]",Ground Pass,,15.34438,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,2,Regular Play,Raúl Albentosa Redal,6727.0,Right Center Back,141,Málaga,223,['bdaf1875-c98b-4b3f-b4c4-f56427b7864d'],51,,,,,,,,,,,,,,,,,Málaga,223,00:07:51.609,Pass,
,,,,,,,,,,,,,,,2.411341,,,,,,,,,,,,,1e8f6a86-3f01-4351-9cb3-4b0d2d6d1385,1968,,"[28.3, 48.7]",3825636,52,,,,,1.5053875,,Left Foot,,,"[29.8, 71.6]",Ground Pass,,22.949074,,,,Raúl Albentosa Redal,6727.0,,,,,,2,Regular Play,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,141,Málaga,223,['2e12ab25-be31-4b5b-a2a9-cd1def02b465'],57,,,,,,,,,,,,,,,,,Málaga,223,00:07:57.383,Pass,
,,,,,,,,,,,,,,,2.96978,,,,,,,,,,,,,603f8da9-1c5c-4432-b000-1818ce880d70,1971,,"[29.8, 71.6]",3825636,53,,,,,-0.5490251,,Right Foot,,,"[72.3, 45.6]",High Pass,,49.822186,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,2,Regular Play,Raúl Albentosa Redal,6727.0,Right Center Back,141,Málaga,223,['08306372-d20c-4a9a-a234-26a6b52727d4'],1,,,,,,,,,,,,,,,,,Málaga,223,00:08:01.568,Pass,
,,,,,,,,,,,,,,,1.444232,,,,,,,,,,,,,52370fb8-5684-45cf-aa13-d92667b49bb8,1973,,"[72.3, 45.6]",3825636,53,,,,,-0.6000502,,Head,,,"[79.9, 40.4]",Low Pass,,9.208692,,Incomplete,,Adnane Tighadouini,8264.0,,,,,,2,Regular Play,Charles Días Barbosa de Oliveira,6707.0,Center Forward,141,Málaga,223,"['ccd55794-9791-4194-b797-c25c176a15a2', 'df791123-a252-4725-a284-e8cafa042ad3']",4,,,,,,,,,,,,,,,,,Málaga,223,00:08:04.537,Pass,
,,,,,,,,,,,,,,,1.960619,,,,,,,,,,,,,df791123-a252-4725-a284-e8cafa042ad3,1975,,"[40.2, 39.7]",3825636,53,,,,,-0.12877974,,Right Foot,,,"[54.1, 37.9]",High Pass,,14.016062,,,,Celso Borges Mora,5582.0,,,,,Recovery,2,Regular Play,Alejandro Arribas Garrido,6869.0,Right Center Back,142,RC Deportivo La Coruña,219,"['52370fb8-5684-45cf-aa13-d92667b49bb8', 'b36ec839-cd10-48e0-8def-73ad02299cd2']",5,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:08:05.982,Pass,
,,,,,,,,,,,,,,,1.296381,,,,,,,,,,,,,4751f04b-df6b-4b04-b436-055c82dd37bb,1977,,"[53.0, 37.8]",3825636,53,,,,,-2.0051637,,Head,,,"[48.5, 28.1]",High Pass,,10.692988,,,,Pedro Mosquera Parada,6733.0,,,,,,2,Regular Play,Celso Borges Mora,5582.0,Right Defensive Midfield,142,RC Deportivo La Coruña,219,['3d58bc30-d666-46c2-9a11-900a427f82e2'],7,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:08:07.942,Pass,
,,,,,,,,,,,,,,,0.588742,,,,,,,,,,,,,f1fcc8f8-4eab-4c1e-8454-a66507ad5372,1980,,"[47.7, 28.4]",3825636,53,,,,,2.6981444,,Left Foot,,,"[35.7, 34.1]",Ground Pass,,13.284954,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,2,Regular Play,Pedro Mosquera Parada,6733.0,Left Defensive Midfield,142,RC Deportivo La Coruña,219,['8d0ecc02-1410-4fc2-b15c-a74607c62773'],9,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:08:09.782,Pass,
,,,,,,,,,,,,,,,0.861151,,,,,,,,,,,,,2d9283ae-7931-4240-b367-d0c7e83e1c0e,1983,,"[35.7, 34.1]",3825636,53,,,,,-1.555569,,Right Foot,,,"[36.0, 14.4]",Ground Pass,,19.702284,,,,Fernando Navarro i Corbacho,6913.0,,,,,,2,Regular Play,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,142,RC Deportivo La Coruña,219,['43d53b6e-1f63-435b-8d6e-368a46e3e78e'],11,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:08:11.420,Pass,
