50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35cf853a-a020-4986-ba9b-bf27ad394949,87,,"[76.3, 69.5]",3835323,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jéssica da Silva,32054.0,Right Center Forward,6,Portugal Women's,864,['a0a6b552-2e38-4a63-ad84-1c27b19fe8b5'],22,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:22.479,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9505f14f-e70e-4fcb-b498-32d75e017b59,93,,"[27.2, 12.6]",3835323,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lia Wälti,10405.0,Right Defensive Midfield,6,Portugal Women's,864,['bd7a2264-c744-45c1-9ab5-f00a79c2bc38'],30,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:02:30.276,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b6a7a02-4a76-4817-8d07-001631cd4328,113,,"[104.9, 74.8]",3835323,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Tatiana Vanessa Ferreira Pinto,10167.0,Right Center Midfield,6,Portugal Women's,864,['dfec3812-a02f-4438-a357-5547babd47c2'],43,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:43.445,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce240114-df1a-48be-9e4f-8d6d0c8a313e,121,,"[14.9, 55.8]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Viola Calligaris,10417.0,Right Center Back,8,Switzerland Women's,860,['037ca306-17bd-48a9-9fb6-43ad0c2e5dab'],5,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:03:05.776,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7ff7b22-7d03-4719-af30-5711d61792d9,123,,"[11.0, 43.2]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Gaëlle Thalmann,10400.0,Goalkeeper,8,Switzerland Women's,860,['f96c7612-0f57-44ce-8da6-6e530cf8895b'],10,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:03:10.109,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1973334-44d2-441c-9b3e-31e3962a9679,126,,"[19.8, 59.3]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Viola Calligaris,10417.0,Right Center Back,8,Switzerland Women's,860,['37441477-12bc-4a56-a91f-2d65d605b410'],16,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:03:16.487,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589eef3f-5e6f-4997-81d7-346b96391f09,129,,"[7.3, 45.2]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Gaëlle Thalmann,10400.0,Goalkeeper,8,Switzerland Women's,860,['3e0a9dcc-6f86-418e-8ded-6bafb78bb555'],20,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:03:20.562,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e6e0830-556f-48c6-a334-56912b5cfec1,132,,"[57.2, 28.6]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Coumba Sow,31630.0,Center Attacking Midfield,8,Switzerland Women's,860,['f682861d-e9fa-4169-a825-11e8d6a5c902'],30,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:03:30.805,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d0668d3-125e-4997-a33d-97c3f1bb8627,134,,"[55.8, 51.6]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dolores Isabel Jacome Silva,10140.0,Center Defensive Midfield,9,Portugal Women's,864,['953662eb-597f-406b-8bdf-20440ca3e3e7'],32,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:32.231,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ec1decf-3555-4d32-9f0d-85387611cdaf,137,,"[45.0, 48.4]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,9,Portugal Women's,864,['5546db6a-c82f-4869-b9e1-503c6081c368'],33,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:33.180,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0635d18a-6526-441d-8cd1-beed483b1bf3,141,,"[63.7, 53.9]",3835323,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jéssica da Silva,32054.0,Right Center Forward,9,Portugal Women's,864,"['41ce72b0-675e-4e02-bbf1-6eb11e9e0f1c', '9526edae-1a0e-43e8-899d-7b2516edd38e']",35,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:35.068,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c41fa38-94e6-4645-9839-6474f72b02d5,155,,"[113.9, 47.0]",3835323,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rahel Kiwic,10416.0,Left Center Back,11,Switzerland Women's,860,['73e25705-debe-4cf7-8d87-58f5b99c41cf'],11,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:04:11.659,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968e720a-f976-4df8-a3df-cb9f2454d668,160,,"[43.2, 39.6]",3835323,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Diana Micaela Abreu de Sousa e Silva,10159.0,Center Attacking Midfield,12,Portugal Women's,864,['f4352177-382f-4f47-99c8-32c15e386362'],13,,,,,,,,,,,,,,,,,Portugal Women's,864,00:05:13.845,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce328be5-781f-4c3f-b651-59bdc14b89c3,163,,"[25.7, 36.5]",3835323,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Inês Teixeira Pereira,34872.0,Goalkeeper,12,Portugal Women's,864,['def6b7a8-54c7-4672-9147-1c7919600765'],19,,,,,,,,,,,,,,,,,Portugal Women's,864,00:05:19.377,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494a0199-955a-4f91-a495-9f685a282dfe,166,,"[59.6, 13.9]",3835323,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ana Borges,10141.0,Left Center Forward,12,Portugal Women's,864,['5fe0dd04-bf2d-477f-9863-c467db13bd1c'],21,,,,,,,,,,,,,,,,,Portugal Women's,864,00:05:21.465,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260d9232-22de-4f54-9902-709bb6b4de4f,171,,"[75.3, 79.4]",3835323,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ana-Maria Crnogorčević,10408.0,Right Midfield,12,Portugal Women's,864,['955ddd62-811a-4060-8bfe-45277412fffb'],25,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:05:25.186,Ball Receipt*,
