50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.16,,,,,,,,,,,,,f874f0eb-52f1-4637-b2db-bbc1e13f21c0,92,,"[57.0, 15.0]",7558,2,,-0.99945885,,,Left Foot,,,"[66.0, 1.0]",Ground Pass,16.643316,Out,Fedor Kudryashov,5677.0,,,,1,Regular Play,Aleksey Miranchuk,6299.0,Center Attacking Midfield,6,Russia,796,"['667b5d9f-8707-4431-b609-ac02aa701700', '9dd5185a-4294-4f9a-a6dc-405ba5077dce']",2,,,,,,,,,,,,,,,,Russia,796,00:02:02.920,Pass,True
,,,,,,,,,,,,1.92,,,,,,,,,,,,,30fa2079-c321-44aa-bbb6-cddffc974991,94,,"[59.0, 80.0]",7558,2,,-0.7853982,,,,,,"[84.0, 55.0]",High Pass,35.35534,,Edinson Roberto Cavani Gómez,4319.0,,,Throw-in,1,From Throw In,José Martín Cáceres Silva,5248.0,Right Back,7,Uruguay,783,['54fbf60a-a5a4-4b8c-ba0d-877a69cf9bf9'],27,,,,,,,,,,,,,,,,Uruguay,783,00:02:27.760,Pass,
,,,,,,,,,,,,0.24,,,,,,,,,,,,,7455ec0c-d511-409e-92d9-5af6fee25911,97,,"[84.0, 55.0]",7558,2,,1.815775,,,Right Foot,,,"[83.0, 59.0]",Low Pass,4.1231055,,Nahitan Michel Nández Acosta,5247.0,,,,1,From Throw In,Edinson Roberto Cavani Gómez,4319.0,Right Center Forward,7,Uruguay,783,['82a41d01-0e1e-49d8-af32-0f5f39c182f4'],29,,,,,,,,,,,,,,,,Uruguay,783,00:02:29.760,Pass,
,,,,,,,,,,,,0.4,,,,,,,,,,,,,338ccb98-0827-4b98-89dc-8317fd3fc5f1,101,,"[84.0, 56.0]",7558,2,,-0.5880026,,,Left Foot,,,"[87.0, 54.0]",Low Pass,3.6055512,,Edinson Roberto Cavani Gómez,4319.0,,,,1,From Throw In,Nahitan Michel Nández Acosta,5247.0,Right Midfield,7,Uruguay,783,"['053d9189-907f-4685-9ff8-d59fbd9e7a7d', '9a146a75-eaea-4d1e-b2f3-931104631547']",30,,,,,,,,,,,,,,,,Uruguay,783,00:02:30.120,Pass,True
,,,,,,,,,,,,0.933,,,,,,,,,,,,,c9eca537-1358-4e5e-8f69-ef7b7459f26c,107,,"[27.0, 22.0]",7558,2,,3.1415927,,,Left Foot,,,"[20.0, 22.0]",Ground Pass,7.0,,Sergei Ignashevich,5174.0,,,Recovery,1,Regular Play,Fedor Kudryashov,5677.0,Left Back,8,Russia,796,['a490eecc-81b8-496c-9875-6fe6021cedb1'],32,,,,,,,,,,,,,,,,Russia,796,00:02:32.720,Pass,
,,,,,,,,,,,,5.16,,,,,,,,,,,,,c7c02f20-67c8-4014-a059-298140d5920c,111,,"[9.0, 11.0]",7558,3,,1.5344487,,,Right Foot,,,"[11.0, 66.0]",Ground Pass,55.03635,,Igor Akinfeev,5172.0,,True,,1,Regular Play,Sergei Ignashevich,5174.0,Left Center Back,9,Russia,796,['866c9eac-a22a-4564-9a25-175a4e64c2e0'],24,,,,,,,,,,,,,,,,Russia,796,00:03:24.320,Pass,
,,,,,,,,,,,,3.88,,,,,,,,,,,,,b2778884-bdbc-4f10-a93e-b70817890c67,113,,"[11.0, 66.0]",7558,3,,0.15991312,,,Right Foot,,,"[73.0, 76.0]",High Pass,62.801273,Incomplete,Artem Dzyuba,5195.0,,,,1,Regular Play,Igor Akinfeev,5172.0,Goalkeeper,9,Russia,796,"['b8c00652-c76c-4712-9f0f-868802e95fe3', 'bf20ee84-b7d6-4cbd-a613-17017f4dfcec']",29,,,,,,,,,,,,,,,,Russia,796,00:03:29.480,Pass,
,,,,,,,,,,,,2.12,,,,,,,,,,,,,b8c00652-c76c-4712-9f0f-868802e95fe3,115,,"[48.0, 5.0]",7558,3,,0.30805278,,,Head,,,"[70.0, 12.0]",High Pass,23.086792,Incomplete,Rodrigo Bentancur Colmán,5260.0,,,Recovery,1,Regular Play,Diego Sebastián Laxalt Suárez,5717.0,Left Back,9,Russia,796,"['7064da10-9d38-4daa-932b-8768b14975ab', 'b2778884-bdbc-4f10-a93e-b70817890c67', 'f927cc85-296e-459f-be9e-6b9ae645a86e']",33,,,,,,,,,,,,,,,,Uruguay,783,00:03:33.360,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,7064da10-9d38-4daa-932b-8768b14975ab,117,,"[51.0, 69.0]",7558,3,,0.98279375,,,Head,,,"[55.0, 75.0]",High Pass,7.2111025,,Aleksandr Samedov,5182.0,,,Recovery,1,Regular Play,Yury Gazinskiy,5181.0,Left Defensive Midfield,9,Russia,796,"['b42de13e-563a-4367-b317-a5c5e1a0d078', 'b8c00652-c76c-4712-9f0f-868802e95fe3']",35,,,,,,,,,,,,,,,,Russia,796,00:03:35.480,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,ae37a412-2024-4e70-a6b2-6a2a2db20e63,120,,"[55.0, 75.0]",7558,3,,-1.19029,,,Right Foot,,,"[59.0, 65.0]",High Pass,10.770329,Incomplete,Aleksey Miranchuk,6299.0,,,,1,Regular Play,Aleksandr Samedov,5182.0,Right Wing,9,Russia,796,"['0264cc25-1a18-41e3-bc55-9d7d061fc122', '5e255463-87b5-42e7-9c94-fce861218a7e', 'f66cae8b-4140-4967-b2c0-f02bdd1dfb70']",37,,,,,,,,,,,,,,,,Russia,796,00:03:37.200,Pass,True
