ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[39.0, 18.0]",,,,,,1.2,,,,,,,,,,,,,506e53ac-6176-4d17-adf7-8db361d0014b,2866,,"[38.0, 20.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Michał Pazdan,5670.0,Left Center Back,138,Poland,789,"['263cd26d-b49d-4e8a-be75-12b0d6e631af', '300968a0-9164-435c-bc51-01eaaeafdbda', 'ab1066e7-4dcc-461f-8552-81cba804338f']",51,,,,,,,,,,,,,,,,,,Poland,789,00:30:51.333,Carry,True
,,,,"[48.0, 3.0]",,,,,,3.267,,,,,,,,,,,,,d43b8408-87b2-42fc-bfcb-d45f754a9e1e,2870,,"[49.0, 19.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Left Defensive Midfield,138,Poland,789,"['60ab5841-2406-4951-bd4f-d8bce3fb378d', '98074434-0a2c-4e60-a69f-5682953f6455', '9d1b883c-4fe1-4b43-871a-cd2dc1c2839e']",53,,,,,,,,,,,,,,,,,,Poland,789,00:30:53.813,Carry,True
,,,,"[53.0, 3.0]",,,,,,0.773,,,,,,,,,,,,,cc2452df-44e4-4ba0-b8db-128e1859feba,2873,,"[48.0, 3.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Left Defensive Midfield,138,Poland,789,"['98074434-0a2c-4e60-a69f-5682953f6455', '9d1b883c-4fe1-4b43-871a-cd2dc1c2839e', 'd540c34e-18bb-4685-8115-21f734aed254']",57,,,,,,,,,,,,,,,,,,Poland,789,00:30:57.080,Carry,True
,,,,"[42.0, 14.0]",,,,,,1.64,,,,,,,,,,,,,db6c58e9-f9e7-4795-9de7-e7a7588d6946,2878,,"[45.0, 11.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michał Pazdan,5670.0,Left Center Back,139,Poland,789,"['28a9f7ae-80a6-46b6-bbe9-4a431417b34d', 'd9153622-4bb0-42a6-80b4-90930164d83d']",1,,,,,,,,,,,,,,,,,,Poland,789,00:31:01.893,Carry,
,,,,"[62.0, 53.0]",,,,,,4.987,,,,,,,,,,,,,3b6a51f5-f26b-49ac-8e5f-336a5193177b,2881,,"[40.0, 65.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Thiago Rangel Cionek,5662.0,Right Center Back,139,Poland,789,"['118c2bdf-ff8e-471e-977c-cdf171dc3041', '25eaf860-44c1-4e06-8b9b-3526161beff2', '91525a52-dd9c-4e3d-b40c-419797c62a00']",5,,,,,,,,,,,,,,,,,,Poland,789,00:31:05.773,Carry,True
,,,,"[74.0, 17.0]",,,,,,2.8,,,,,,,,,,,,,e8d60dc9-bab2-4167-9c34-4be105f8d012,2885,,"[61.0, 18.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michał Pazdan,5670.0,Left Center Back,139,Poland,789,"['36409be8-b93c-4b93-9780-d64db40af2eb', '86ea81d2-727e-460d-96d2-ffa2029cc749']",12,,,,,,,,,,,,,,,,,,Poland,789,00:31:12.813,Carry,
,,,,"[77.0, 61.0]",,,,,,6.16,,,,,,,,,,,,,b56c8889-4585-4219-9f93-1ab04d2d9781,2891,,"[74.0, 67.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Thiago Rangel Cionek,5662.0,Right Center Back,139,Poland,789,"['09d1c180-4c1a-4a3d-a463-e821d63d6fd9', '8d42c71f-dce0-4c46-b4d4-2099bad30300', 'a72c3d43-1541-45dd-964f-24ca6fa27589']",19,,,,,,,,,,,,,,,,,,Poland,789,00:31:19.973,Carry,True
,,,,"[63.0, 48.0]",,,,,,1.161,,,,,,,,,,,,,b28485ca-501a-4c8a-8507-e56b4d9c489d,2896,,"[60.0, 49.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jan Bednarek,4626.0,Center Back,139,Poland,789,"['56b23863-8003-4eb4-8910-efd610758a7a', '6c1112a7-6a0b-45ea-b350-a1830157dbda', '96e8b55f-cd4e-4060-8731-4d55cec11407']",27,,,,,,,,,,,,,,,,,,Poland,789,00:31:27.252,Carry,True
,,,,"[76.0, 23.0]",,,,,,0.72,,,,,,,,,,,,,ed0ed3b6-7e99-432a-9e7d-26edbab6659f,2899,,"[74.0, 23.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michał Pazdan,5670.0,Left Center Back,139,Poland,789,"['5de00d64-fec3-4a51-badb-cb1697ab8564', 'bb0bbb33-42b8-42c1-8a2e-425c877ce903']",30,,,,,,,,,,,,,,,,,,Poland,789,00:31:30.013,Carry,
,,,,"[76.0, 31.0]",,,,,,0.001,,,,,,,,,,,,,2ed3af0d-6953-44f9-b369-57578c6fbc4b,2902,,"[76.0, 31.0]",7539,76,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Piotr Zieliński,5660.0,Left Defensive Midfield,139,Poland,789,"['f410e1e4-5d4b-4bdc-98f0-d885fd12eec3', 'f82d2365-a3fd-44aa-9ecb-496b71ece394']",31,,,,,,,,,,,,,,,,,,Poland,789,00:31:31.652,Carry,
