ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.093,,,,,,,,,,,,,,,e863e097-4a10-4aa3-92cf-15f080c82166,84,,"[52.0, 73.0]",7529,1,,-0.9272952,,,Right Foot,,,,"[55.0, 69.0]",Ground Pass,5.0,,Incomplete,John Michael Nchekwube Obinna,5475.0,,,,,,1,Regular Play,Alex Iwobi,3647.0,Left Defensive Midfield,5,Nigeria,775,"['2380cabd-71cb-4166-980a-1d2807256590', '44987b1f-8989-470e-b766-856fcc6fc3c5', 'ee6fbd48-8ed7-4992-99fe-68e1ea0513c9']",45,,,,,,,,,,,,,,,Nigeria,775,00:01:45.507,Pass,True
,,,,,,,,,,,,1.439,,,,,,,,,,,,,,,eda0ab79-6c74-46f3-9fdc-6d3404d14c5c,89,,"[68.0, 15.0]",7529,1,,0.0,,,Right Foot,,,,"[87.0, 15.0]",Ground Pass,19.0,,Pass Offside,Andrej Kramarić,5460.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,5,Nigeria,775,"['2ae501f7-6eed-438e-9b4b-0e02090935a1', 'dd046c3a-81e3-44db-ae13-233d9e84750e']",47,,,,,,,,,,,,,,,Croatia,785,00:01:47.640,Pass,True
,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,279d6ef7-eecb-4f07-97ac-340c2482e6f2,91,,"[33.0, 66.0]",7529,2,,-0.12832323,,,Right Foot,,,,"[95.0, 58.0]",High Pass,62.514,,,Odion Jude Ighalo,5458.0,,,,,Free Kick,1,From Free Kick,William Troost-Ekong,5455.0,Right Center Back,6,Nigeria,775,['dd0d8e66-21f8-466b-bc3a-7858458a1e69'],12,,,,,,,,,,,,,,,Nigeria,775,00:02:12.467,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,e415dbb1-b629-4830-b236-a9f9518a7a2e,99,,"[15.0, 19.0]",7529,2,,-0.5984189,,,Right Foot,,,,"[37.0, 4.0]",Ground Pass,26.627054,,,Ante Rebić,5465.0,,,,,,1,Regular Play,Domagoj Vida,5468.0,Left Center Back,7,Croatia,785,['763df092-2a27-4c8b-a662-c25fa7d3c812'],22,,,,,,,,,,,,,,,Croatia,785,00:02:22.480,Pass,
,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,15d5a796-014b-49b7-9453-e711c0b4da21,103,,"[37.0, 3.0]",7529,2,,1.2649175,,,Right Foot,,,,"[43.0, 22.0]",High Pass,19.924858,,,Andrej Kramarić,5460.0,,,,,,1,Regular Play,Ante Rebić,5465.0,Left Wing,7,Croatia,785,"['6522552b-0c30-47f8-8386-d0934cec4a19', '81970ae7-ff75-48b9-81c1-2416089d96b0']",24,,,,,,,,,,,,,,,Croatia,785,00:02:24.280,Pass,True
,,,,,,,,,,,,1.027,,,,,,,,,,,,,,,3e45d256-0b69-4a9b-b465-ca18a24a412a,110,,"[112.0, 16.0]",7529,2,,1.4711276,,,Left Foot,True,,,"[114.0, 36.0]",Ground Pass,20.09975,,Incomplete,Ivan Perišić,5474.0,,,,,,1,Regular Play,Ante Rebić,5465.0,Left Wing,8,Croatia,785,"['ba332c72-c01e-4f2f-a204-5af066328192', 'd0a97a31-334d-4718-8491-30babbc78353']",36,,,,,,,,,,,,,,,Croatia,785,00:02:36.640,Pass,
,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,ba332c72-c01e-4f2f-a204-5af066328192,112,,"[7.0, 45.0]",7529,2,,0.8288491,,,Right Foot,,,,"[18.0, 57.0]",Ground Pass,16.27882,,,Onyinye Wilfred Ndidi,3338.0,,,,,Recovery,1,Regular Play,Brian Oladapo Idowu,5462.0,Left Back,9,Nigeria,775,"['3e45d256-0b69-4a9b-b465-ca18a24a412a', 'dde5be00-6229-491a-92e3-8ab7b9240beb']",37,,,,,,,,,,,,,,,Nigeria,775,00:02:37.667,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,76e9658d-a86f-466c-b06d-64dd76d260ab,115,,"[13.0, 60.0]",7529,2,,1.0636978,,,Right Foot,,,,"[23.0, 78.0]",Ground Pass,20.59126,,,Alex Iwobi,3647.0,,,,,,1,Regular Play,Onyinye Wilfred Ndidi,3338.0,Right Center Midfield,9,Nigeria,775,['fb3a64e8-6849-4a21-bc16-6354b3f234c8'],40,,,,,,,,,,,,,,,Nigeria,775,00:02:40.667,Pass,
,,,,,,,,,,,,2.293,,,,,,,,,,,,,,,255c2a0d-3cca-47a3-b0bb-165c75f67369,120,,"[31.0, 68.0]",7529,2,,-1.419781,,,Right Foot,,,,"[38.0, 22.0]",Ground Pass,46.52956,,,Victor Moses,3963.0,,True,,,,1,Regular Play,Alex Iwobi,3647.0,Left Defensive Midfield,9,Nigeria,775,"['0aa174f7-0a54-405f-986b-fb7f923ac753', 'e773c52c-0ee1-4827-9982-15f5227920cc']",43,,,,,,,,,,,,,,,Nigeria,775,00:02:43.787,Pass,True
,,,,,,,,,,,,1.053,,,,,,,,,,,,,,,1235bf43-2d68-4cea-8f53-1cbbd5a67136,123,,"[40.0, 27.0]",7529,2,,0.5880026,,,Left Foot,,,,"[55.0, 37.0]",Ground Pass,18.027756,,Incomplete,John Michael Nchekwube Obinna,5475.0,,,,,,1,Regular Play,Victor Moses,3963.0,Right Wing,9,Nigeria,775,"['183782dc-2265-420a-9086-1b181bbe8f27', '4907a307-3237-4d71-8c1b-f58c398a6a4e']",46,,,,,,,,,,,,,,,Nigeria,775,00:02:46.947,Pass,
