50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,2b930077-ba94-4d2a-a0c8-1a9def2599e6,3580,,"[63.0, 23.0]",7565,84,,-1.487655,,,Right Foot,,,,"[64.0, 11.0]",,Ground Pass,12.0415945,,Renato Soares de Oliveira Augusto,5553.0,,,,2,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,156,Brazil,781,['d3a2ab18-4185-46ab-8fe3-b7b2ae35aaaa'],36,,,,,,,,,,,,,,,,,Brazil,781,00:39:36.620,Pass,
,,,,,,,,,,,,,,1.04,,,,,,,,,,,,c49d46f9-2e3a-4b6b-a909-77b7f9f1d466,3584,,"[65.0, 11.0]",7565,84,,2.2142975,,,Right Foot,,,,"[59.0, 19.0]",,Ground Pass,10.0,,Carlos Henrique Casimiro,5539.0,,,,2,Regular Play,Renato Soares de Oliveira Augusto,5553.0,Left Center Midfield,156,Brazil,781,"['08731a14-0175-45e0-a584-623ba850588f', 'fb6e596a-62ed-4c60-b7d9-e698bab10ac0']",38,,,,,,,,,,,,,,,,,Brazil,781,00:39:38.460,Pass,True
,,,,,,,,,,,,,,1.48,,,,,,,,,,,,2ecca8de-39ed-456b-81b1-c6c5c61de4f4,3587,,"[56.0, 24.0]",7565,84,,1.2490457,,,Right Foot,,,,"[63.0, 45.0]",,Ground Pass,22.135944,,Fernando Luiz Rosa,3054.0,,,,2,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,156,Brazil,781,['930c40a2-6fcc-4b83-aa17-f8447ebf539f'],41,,,,,,,,,,,,,,,,,Brazil,781,00:39:41.540,Pass,
,,,,,,,,,,,,,,1.625,,,,,,,,,,,,d7291b44-66ed-4168-9dcd-23505418b9c7,3590,,"[65.0, 49.0]",7565,84,,1.670465,,,Right Foot,,,,"[63.0, 69.0]",,Ground Pass,20.09975,,Fágner Conserva Lemos,5838.0,,,,2,Regular Play,Fernando Luiz Rosa,3054.0,Right Center Midfield,156,Brazil,781,['a57dc020-f408-4541-a88b-dfc1a7ef3a1d'],44,,,,,,,,,,,,,,,,,Brazil,781,00:39:44.435,Pass,
,,,,,,,,,,,,,,1.16,,,,,,,,,,,,d46dd913-3a41-4a2d-a75e-57b81f413b8e,3592,,"[63.0, 69.0]",7565,84,,-1.4382448,,,Right Foot,,,,"[65.0, 54.0]",,Ground Pass,15.132746,,Fernando Luiz Rosa,3054.0,,,,2,Regular Play,Fágner Conserva Lemos,5838.0,Right Back,156,Brazil,781,['1b89f752-50e6-4aa7-a4f0-f15bea2bd8ad'],46,,,,,,,,,,,,,,,,,Brazil,781,00:39:46.060,Pass,
,,,,,,,,,,,,,,1.04,,,,,,,,,,,,599cf311-570f-42ea-81f7-5e074df99cc3,3594,,"[65.0, 54.0]",7565,84,,2.158799,,,Left Foot,,,,"[59.0, 63.0]",,Ground Pass,10.816654,,Fágner Conserva Lemos,5838.0,,,,2,Regular Play,Fernando Luiz Rosa,3054.0,Right Center Midfield,156,Brazil,781,['35938c14-eaa7-4be7-8185-10741c5cd60d'],47,,,,,,,,,,,,,,,,,Brazil,781,00:39:47.220,Pass,
,,,,,,,,,,,,,,1.6,,,,,,,,,,,,a6a18a37-daed-4464-99b7-f9db72017da9,3596,,"[59.0, 63.0]",7565,84,,-2.3036115,,,Right Foot,,,,"[50.0, 53.0]",,Ground Pass,13.453624,,Thiago Emiliano da Silva,3295.0,,,,2,Regular Play,Fágner Conserva Lemos,5838.0,Right Back,156,Brazil,781,['f00d2a92-0ae5-47d4-a2a0-f74bd63f2ddd'],48,,,,,,,,,,,,,,,,,Brazil,781,00:39:48.260,Pass,
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,7eef181f-e125-4997-9832-7fa8a13c1329,3599,,"[50.0, 53.0]",7565,84,,-0.9272952,,,Right Foot,,,,"[56.0, 45.0]",,Ground Pass,10.0,,Carlos Henrique Casimiro,5539.0,,,,2,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,156,Brazil,781,['edbe14ee-7968-4a3e-81e5-78f5e0c23109'],50,,,,,,,,,,,,,,,,,Brazil,781,00:39:50.340,Pass,
,,,,,,,,,,,,,,1.386,,,,,,,,,,,,7c1e97a6-cd27-414b-992b-a488bbccc947,3603,,"[56.0, 45.0]",7565,84,,-0.38050637,,,Right Foot,,,,"[66.0, 41.0]",,Ground Pass,10.770329,,Renato Soares de Oliveira Augusto,5553.0,,,,2,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,156,Brazil,781,['30626781-5802-48d4-a6d5-578b12d8fddc'],51,,,,,,,,,,,,,,,,,Brazil,781,00:39:51.993,Pass,
,,,,,,,,,,,,,,0.84,,,,,,,,,,,,d5673a94-caba-4c8f-984d-fa27e5f46b07,3607,,"[66.0, 41.0]",7565,84,,-2.3036115,,,Right Foot,,,,"[57.0, 31.0]",,Ground Pass,13.453624,,Filipe Luís Kasmirski,6320.0,,,,2,Regular Play,Renato Soares de Oliveira Augusto,5553.0,Left Center Midfield,156,Brazil,781,"['2eae84dc-4574-49cd-abd3-6735013ca7d0', '37cfc267-76b1-4b5d-954f-9acad6a1f9f2']",53,,,,,,,,,,,,,,,,,Brazil,781,00:39:53.380,Pass,True
