bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,3.28,,,,,,,,,,,,7569b5dd-445b-4e50-bf9e-1c8794cbb7d0,3097,,"[47.0, 50.0]",8651,86,,-0.43358147,,,Right Foot,,,,"[101.0, 25.0]",,High Pass,59.5063,Unknown,,,,,,,Free Kick,2,From Free Kick,Robin Olsen,5622.0,Goalkeeper,156,Sweden,790,,54,,,,,,,,,,,,,,,,,Sweden,790,00:41:54.107,Pass,
,,,,,,,,,,,4.759,,,,,,,,,,,,0b4d2654-78b1-48e2-9e33-a920ec5a8a2b,3101,,"[24.0, 55.0]",8651,87,,0.2798171,,,Left Foot,,,,"[111.0, 80.0]",,High Pass,90.52071,Out,Harry Kane,10955.0,,,,,Free Kick,2,From Free Kick,Jordan Pickford,3468.0,Goalkeeper,157,England,768,['2a8c91c4-b84d-42e2-b162-6cb9111c5a87'],30,,,,,,,,,,,,,,,,,England,768,00:42:30.920,Pass,
,,,,,,,,,,,1.666,,,,,,,,,,,,4b364282-37a9-4dae-94e5-a2375014ec89,3103,,"[22.0, 1.0]",8651,87,,0.13552772,,,,,,,"[44.0, 4.0]",,High Pass,22.203604,,Pontus Jansson,4709.0,,,,,Throw-in,2,From Throw In,Ludwig Augustinsson,5621.0,Left Back,158,Sweden,790,['dfd3e3dd-b24f-4232-aa2b-e29ad76a09d6'],42,,,,,,,,,,,,,,,,,Sweden,790,00:42:42.760,Pass,
,,,,,,,,,,,0.773,,,,,,,,,,,,6cb8b04a-207e-402b-9b8c-b08912492fc7,3105,,"[44.0, 4.0]",8651,87,,0.6435011,,,Head,,,,"[56.0, 13.0]",,High Pass,15.0,,John Guidetti,6038.0,,,,,,2,From Throw In,Pontus Jansson,4709.0,Right Back,158,Sweden,790,['608cf11e-a688-4301-88b6-579dc3a7de7c'],44,,,,,,,,,,,,,,,,,Sweden,790,00:42:44.427,Pass,
,,,,,,,,,,,1.2,,,,,,,,,,,,4ac8396a-952f-41fe-819b-db9e84fb0532,3109,,"[66.0, 72.0]",8651,87,,-1.6814536,,,Right Foot,,,,"[64.0, 54.0]",,Ground Pass,18.110771,,Fabian Delph,4597.0,,,,,Recovery,2,Regular Play,Kyle Walker,3205.0,Right Center Back,159,England,768,['8055b0ad-fa6a-408a-8194-048810ea9a41'],46,,,,,,,,,,,,,,,,,England,768,00:42:46.320,Pass,
,,,,,,,,,,,1.843,,,,,,,,,,,,cc4086ab-e959-44fd-9fe6-f4ca20d1a88d,3113,,"[68.0, 51.0]",8651,87,,-1.7607846,,,Left Foot,,,,"[63.0, 25.0]",,Ground Pass,26.476404,,Ashley Young,3612.0,,,,,,2,Regular Play,Fabian Delph,4597.0,Left Attacking Midfield,159,England,768,"['8f626d5f-225f-4912-9072-2527b2ec0d6b', 'c84df1c6-c72d-42aa-bae6-59062494ca9f']",48,,,,,,,,,,,,,,,,,England,768,00:42:48.917,Pass,True
,,,,,,,,,,,0.718,,,,,,,,,,,,9c8e8b4e-5881-45be-aad7-f014598bec57,3116,,"[65.0, 14.0]",8651,87,,-0.26625204,,,Right Foot,,,,"[87.0, 8.0]",,Ground Pass,22.803509,,Raheem Sterling,3233.0,,,,,,2,Regular Play,Ashley Young,3612.0,Left Back,159,England,768,['bcccba1a-ca71-4737-a69d-180654c8ad30'],52,,,,,,,,,,,,,,,,,England,768,00:42:52.722,Pass,
,,,,,,,,,,,0.88,,,,,,,,,,,,218ef287-1d85-46d5-bcaa-24bdca6e67a5,3126,,"[114.0, 17.0]",8651,88,,2.0988708,,,Right Foot,,,,"[107.0, 29.0]",,Ground Pass,13.892444,,Fabian Delph,4597.0,,,,,,2,Regular Play,Raheem Sterling,3233.0,Right Center Forward,159,England,768,"['817a362a-6f6d-4f89-8d8a-8147366f9140', 'e5cf4f37-31cd-4979-a48a-ac2df47c89c0']",0,,,,,,,,,,,,,,,,,England,768,00:43:00.120,Pass,True
,,,,,,,,,,,3.693,,,,,,,,,,,,43451136-25dd-4bdb-a34a-9f3fc8d8ba27,3132,,"[47.0, 71.0]",8651,88,,-0.66104317,,,Right Foot,,,,"[101.0, 29.0]",,High Pass,68.41052,Incomplete,Pontus Jansson,4709.0,,True,,,,2,Regular Play,Victor Nilsson Lindelöf,3702.0,Right Center Back,160,Sweden,790,"['8bb0bb39-e942-4024-93a0-e8c5871d3f90', '98aa6e38-e0a4-4ac4-b96b-14f9da3ce0d5']",20,,,,,,,,,,,,,,,,,Sweden,790,00:43:20.227,Pass,
,,,,,,,,,,,0.6,,,,,,,,,,,,98aa6e38-e0a4-4ac4-b96b-14f9da3ce0d5,3134,,"[20.0, 52.0]",8651,88,,-0.32175055,,,Head,,,,"[26.0, 50.0]",,Low Pass,6.3245554,,Jesse Lingard,3293.0,,,,,Recovery,2,Regular Play,Kyle Walker,3205.0,Right Center Back,160,Sweden,790,"['30d20332-f9db-45ec-8551-2c3eb1ac5d17', '43451136-25dd-4bdb-a34a-9f3fc8d8ba27']",23,,,,,,,,,,,,,,,,,England,768,00:43:23.920,Pass,
,,,,,,,,,,,2.093,,,,,,,,,,,,7a4403cc-61f9-46ee-ae2b-ad9dc0348370,3138,,"[81.0, 39.0]",8651,88,,-1.9922155,,,Right Foot,,,,"[68.0, 10.0]",,Ground Pass,31.780497,,Ludwig Augustinsson,5621.0,,,,,Recovery,2,Regular Play,Viktor Claesson,5613.0,Right Wing,160,Sweden,790,['388872ce-ae0c-488f-9068-b86037559c68'],26,,,,,,,,,,,,,,,,,Sweden,790,00:43:26.907,Pass,
,,,,,,,,,,,2.533,,,,,,,,,,,,36e23dc1-15fe-447f-bef7-7a80ba91bd82,3141,,"[75.0, 9.0]",8651,88,,1.0269638,,,Left Foot,,,,"[101.0, 52.0]",,High Pass,50.24938,Incomplete,Andreas Granqvist,5607.0,,True,,,,2,Regular Play,Ludwig Augustinsson,5621.0,Left Back,160,Sweden,790,"['e217ead0-507f-4d3d-af8e-81010fb95c28', 'f5f69ae8-6614-4948-b0d6-cdade464cae5']",30,,,,,,,,,,,,,,,,,Sweden,790,00:43:30.467,Pass,
,,,,,,,,,,,3.307,,,,,,,,,,,,e217ead0-507f-4d3d-af8e-81010fb95c28,3143,,"[20.0, 29.0]",8651,88,,-0.76214653,,,Head,,,,"[42.0, 8.0]",,High Pass,30.413813,Incomplete,,,,,,,Recovery,2,Regular Play,Harry Maguire,3336.0,Left Center Back,160,Sweden,790,"['14a6e716-c8e3-430d-b68d-2c054ab14749', '36e23dc1-15fe-447f-bef7-7a80ba91bd82']",33,,,,,,,,,,,,,,,,,England,768,00:43:33.000,Pass,
,,,,,,,,,,,0.693,,,,,,,,,,,,4d9b9c6d-1d3a-4b1a-aea6-61273941558b,3147,,"[69.0, 68.0]",8651,88,,-2.6779451,,,Left Foot,,,,"[67.0, 67.0]",,Ground Pass,2.236068,Incomplete,,,,,,,,2,Regular Play,Sebastian Larsson,5617.0,Right Center Midfield,160,Sweden,790,"['1c809dc9-c00c-4d1a-b9fa-20ae3504f042', '2cfc37be-b335-49ca-8e8f-1ca9f4f6928f']",37,,,,,,,,,,,,,,,,,Sweden,790,00:43:37.507,Pass,True
,,,,,,,,,,,2.12,,,,,,,,,,,,e4018165-6c7c-4872-bb55-e76d9dbc70ff,3149,,"[69.0, 80.0]",8651,88,,-2.3217254,,,,,,,"[55.0, 65.0]",,High Pass,20.518284,,Victor Nilsson Lindelöf,3702.0,,,,,Throw-in,2,From Throw In,Sebastian Larsson,5617.0,Right Center Midfield,161,Sweden,790,['8cf1b861-4069-4334-8f13-92934d45e068'],41,,,,,,,,,,,,,,,,,Sweden,790,00:43:41.320,Pass,
