50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,955222bf-d1bf-4bcd-a456-ad70e4aeec91,99,,"[55.0, 67.0]",7580,2,,2.7291822,,,Right Foot,,,"[39.0, 74.0]",,Ground Pass,17.464249,,,Gabriel Iván Mercado,5742.0,,,,1,Regular Play,Enzo Nicolás Pérez,5741.0,Right Center Midfield,5,Argentina,779,"['972a674c-a13c-4b66-a5ce-65ebec3fdfb4', 'ce86cbe4-175a-4b99-a703-ca0916c53a4f']",5,,,,,,,,,,,,,,,,,Argentina,779,00:02:05.680,Pass,True
,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,d714aa4c-346d-460b-ba9c-f65546bf30a3,102,,"[38.0, 72.0]",7580,2,,-2.55359,,,Right Foot,,,"[29.0, 66.0]",,Ground Pass,10.816654,,,Nicolás Hernán Otamendi,3090.0,,,,1,Regular Play,Gabriel Iván Mercado,5742.0,Right Back,5,Argentina,779,['4a5f380e-b9ad-434e-b5f2-dcf8aef764aa'],10,,,,,,,,,,,,,,,,,Argentina,779,00:02:10.920,Pass,
,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,7308885d-1f2a-4364-99a7-d97b7a6d07dc,105,,"[35.0, 61.0]",7580,2,,0.5880026,,,Right Foot,,,"[50.0, 71.0]",,Ground Pass,18.027756,,,Gabriel Iván Mercado,5742.0,,,,1,Regular Play,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['63533e69-6b6a-48c2-85ed-a1b2f6ea7424'],16,,,,,,,,,,,,,,,,,Argentina,779,00:02:16.400,Pass,
,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,c4191fde-52d4-4879-bb80-1b9249f23fee,109,,"[56.0, 68.0]",7580,2,,0.8960554,,,Left Foot,,,"[64.0, 78.0]",,Ground Pass,12.806249,,,Cristian David Pavón,5496.0,,,,1,Regular Play,Gabriel Iván Mercado,5742.0,Right Back,5,Argentina,779,"['6f4b9721-deab-407b-bfd2-232bf0c8a2bd', 'b1f30bd2-ed1e-4f6f-b6eb-e001c683f40c']",20,,,,,,,,,,,,,,,,,Argentina,779,00:02:20.480,Pass,True
,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,75b61401-617f-43f0-abd8-4d123a073e8e,113,,"[66.0, 78.0]",7580,2,,-1.6001996,,,Right Foot,,,"[65.0, 44.0]",,Low Pass,34.0147,,Incomplete,Enzo Nicolás Pérez,5741.0,,,,1,Regular Play,Cristian David Pavón,5496.0,Left Wing,5,Argentina,779,"['43dd9aae-a6d9-46de-8254-4989e0728244', '612b65e4-e003-4ae6-aa04-644ecff526a1', 'ec4d84c3-9f36-41c8-8df4-bdb00e9d37d0']",22,,,,,,,,,,,,,,,,,Argentina,779,00:02:22.480,Pass,True
,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,612b65e4-e003-4ae6-aa04-644ecff526a1,116,,"[56.0, 37.0]",7580,2,,0.24497867,,,Right Foot,,,"[60.0, 38.0]",,Ground Pass,4.1231055,,Incomplete,Antoine Griezmann,5487.0,,,Recovery,1,Regular Play,Paul Pogba,20004.0,Right Defensive Midfield,5,Argentina,779,"['09eb36c8-a4d1-4e9e-aa1c-886e2bc7c2cf', '4f77f9eb-c170-4b41-9c72-3ef5ad1022d5', '75b61401-617f-43f0-abd8-4d123a073e8e', '78f236de-2d0d-410e-a036-12f784384ca5']",24,,,,,,,,,,,,,,,,,France,771,00:02:24.640,Pass,True
,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,ba0fe8da-4f7a-4f35-bbaa-e81ffa661b50,126,,"[53.0, 69.0]",7580,2,,-2.1421337,,,Right Foot,,,"[44.0, 55.0]",,Ground Pass,16.643316,,,Nicolás Hernán Otamendi,3090.0,,,,1,Regular Play,Gabriel Iván Mercado,5742.0,Right Back,6,Argentina,779,"['45ef8560-81bb-45bf-b6e3-954b2d7ead05', 'd46d8f2b-a330-4849-bffa-7905f90b30d1']",41,,,,,,,,,,,,,,,,,Argentina,779,00:02:41.960,Pass,True
,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,4d37a65f-b8af-4e4e-85c6-7ec86d6a4b48,129,,"[52.0, 56.0]",7580,2,,0.52807444,,,Left Foot,,,"[64.0, 63.0]",,Ground Pass,13.892444,,,Enzo Nicolás Pérez,5741.0,,,,1,Regular Play,Nicolás Hernán Otamendi,3090.0,Right Center Back,6,Argentina,779,['cc22a16c-7d85-4343-8f29-171774509e82'],45,,,,,,,,,,,,,,,,,Argentina,779,00:02:45.760,Pass,
,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,2fbe9ab0-78c7-48b4-8991-7c813803b1c9,133,,"[66.0, 63.0]",7580,2,,0.81986725,,,Left Foot,,,"[80.0, 78.0]",,Ground Pass,20.518284,,,Cristian David Pavón,5496.0,,,,1,Regular Play,Enzo Nicolás Pérez,5741.0,Right Center Midfield,6,Argentina,779,['dc8ccad3-848b-486a-a466-fc81b7e7036f'],47,,,,,,,,,,,,,,,,,Argentina,779,00:02:47.960,Pass,
,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,fa192216-fee4-4ad5-9f4f-100fc9b02b03,135,,"[80.0, 78.0]",7580,2,,-1.487655,,,Right Foot,,,"[81.0, 66.0]",,Ground Pass,12.0415945,,,Lionel Andrés Messi Cuccittini,5503.0,,,,1,Regular Play,Cristian David Pavón,5496.0,Left Wing,6,Argentina,779,['3bdf420d-62d6-46a8-8816-48bfc14e0bd1'],49,,,,,,,,,,,,,,,,,Argentina,779,00:02:49.000,Pass,
