50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[68.0, 79.0]",,,,,,,1.72,,,,,,,,,,,,1289638a-affc-4201-accc-7ea0ac4f8f93,2405,,,"[68.0, 79.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,José Martín Cáceres Silva,5248.0,Right Back,132,Uruguay,783,"['c5ee7e5a-7590-488d-8b60-d418d9f4a550', 'e7a9d6ae-3092-46b4-8fa5-1ed16f4002c1']",28,,,,,,,,,,,,,,,,,Uruguay,783,00:26:28.119,Carry,
,,,,,,"[104.0, 72.0]",,,,,,,1.12,,,,,,,,,,,,054bb7a9-ae61-401b-8d58-be91bdc34ad9,2415,,,"[102.0, 71.0]",7579,71,,,,,,,,,,,,,,,,,,,2,From Throw In,Ricardo Domingos Barbosa Pereira,6352.0,Right Back,135,Portugal,780,"['002214b6-bfd2-4c42-93b2-0de74939cee4', '61e0d377-f5fa-4911-9bc3-018ae811b8b4']",54,,,,,,,,,,,,,,,,,Portugal,780,00:26:54.279,Carry,
,,,,,,"[93.0, 69.0]",,,,,,,1.28,,,,,,,,,,,,bb13b6f7-af13-4e2e-80a7-f9ac48de965d,2420,,,"[98.0, 69.0]",7579,71,,,,,,,,,,,,,,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Forward,135,Portugal,780,"['a29794ac-ccb3-4b37-a0cb-3fb855a0ad5f', 'f39c0334-0411-4520-b45f-7b9ec63e09b2']",56,,,,,,,,,,,,,,,,,Portugal,780,00:26:56.959,Carry,
,,,,,,"[89.0, 38.0]",,,,,,,1.095,,,,,,,,,,,,7010a5d2-8a9a-464e-a10b-255ad89e01cf,2423,,,"[89.0, 38.0]",7579,71,,,,,,,,,,,,,,,,,,,2,From Throw In,João Mário Naval da Costa Eduardo,4272.0,Right Center Midfield,135,Portugal,780,"['1147ec98-9ccf-479d-92d6-d2290d04319f', '2a41203b-47e0-4314-9735-0b6b3933cae5']",59,,,,,,,,,,,,,,,,,Portugal,780,00:26:59.839,Carry,
,,,,,,"[96.0, 24.0]",,,,,,,2.0,,,,,,,,,,,,02d108d7-1edb-418a-a5f7-ccbb8ebfae4e,2426,,,"[97.0, 20.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Center Forward,135,Portugal,780,"['459ca405-9858-4cf6-8791-9d0bc2718196', 'f620e5f1-b2bb-45a4-b65a-18b136bfcbaa']",1,,,,,,,,,,,,,,,,,Portugal,780,00:27:01.999,Carry,
,,,,,,"[87.0, 42.0]",,,,,,,7.52,,,,,,,,,,,,e5f32dca-d3f7-4e1e-be21-d3ce0c3b4770,2431,,,"[91.0, 29.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,João Mário Naval da Costa Eduardo,4272.0,Right Center Midfield,135,Portugal,780,"['053e3303-5610-4549-8a3d-8200e1df8895', '2a093eda-29ef-40f5-ad2b-56ac87a63c29']",4,,,,,,,,,,,,,,,,,Portugal,780,00:27:04.599,Carry,
,,,,,,"[96.0, 50.0]",,,,,,,4.0,,,,,,,,,,,,341a9d02-1f95-4c7c-ab61-e765610e334e,2434,,,"[95.0, 52.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Forward,135,Portugal,780,"['775bc08e-9624-4b45-8852-dc2404cfbcad', '929c8bc1-c067-48a8-aa90-aadee2e0f91f', 'a121647c-4c2e-4582-8468-cbb532b7370a']",12,,,,,,,,,,,,,,,,,Portugal,780,00:27:12.959,Carry,True
,,,,,,"[89.0, 42.0]",,,,,,,2.0,,,,,,,,,,,,eaf678be-4f0d-4055-b3bc-14c0dab77457,2438,,,"[89.0, 39.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,William Silva de Carvalho,5214.0,Left Center Midfield,135,Portugal,780,"['54f23215-4646-4341-9b9d-d9499f89c2c8', 'd8aa1bb2-1bf3-47c4-938c-e0002d4e04e9']",18,,,,,,,,,,,,,,,,,Portugal,780,00:27:18.879,Carry,
,,,,,,"[96.0, 53.0]",,,,,,,0.36,,,,,,,,,,,,e643a730-5460-48df-a241-5f05483f76c2,2442,,,"[98.0, 51.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,Ricardo Domingos Barbosa Pereira,6352.0,Right Back,135,Portugal,780,"['2e236585-f939-4898-9783-8957f8cfe300', '478eb5e9-cb5b-4afb-b537-3130a1631456', '8818c43a-cf7f-4c60-aa8c-e76e0bd668c2']",21,,,,,,,,,,,,,,,,,Portugal,780,00:27:21.879,Carry,True
,,,,,,"[90.0, 56.0]",,,,,,,0.88,,,,,,,,,,,,1b5b49aa-9c6c-4d44-bee3-6b5f0e2596f3,2445,,,"[88.0, 57.0]",7579,72,,,,,,,,,,,,,,,,,,,2,From Throw In,João Mário Naval da Costa Eduardo,4272.0,Right Center Midfield,135,Portugal,780,"['0ce222f0-ce12-47a7-ba86-3c944e50d7b1', '914b6982-64a3-4d57-8344-08883a517110']",23,,,,,,,,,,,,,,,,,Portugal,780,00:27:23.719,Carry,
