ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,20718f9d-3b83-4424-ac86-bc5f9e48f41d,1674,,,"[48.0, 45.0]",7538,45,,,,,,,,,,,,,,,,,,2,From Throw In,Pontus Jansson,4709.0,Right Center Back,93,Sweden,790,['a0c9b503-060d-4dc6-8a5c-f286effb6eea'],32,,,,,,,,,,,,,,,,,Sweden,790,00:00:32.133,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,1bb2909e-b8c2-49f3-a9b6-ab8e893313fd,1677,,,"[56.0, 22.0]",7538,45,,,,,,,,,,,,,,,,,,2,From Throw In,Andreas Granqvist,5607.0,Left Center Back,93,Sweden,790,['6ee9199d-9af8-477a-8c03-be776235a596'],34,,,,,,,,,,,,,,,,,Sweden,790,00:00:34.852,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,bca20280-b8f3-4091-88bf-d66c61193007,1680,,,"[52.0, 48.0]",7538,45,,,,,,,,,,,,,,,,,,2,From Throw In,Pontus Jansson,4709.0,Right Center Back,93,Sweden,790,['3c164570-e7c6-435c-a6f3-44865f54501a'],36,,,,,,,,,,,,,,,,,Sweden,790,00:00:36.413,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,afef82f1-55d7-4cfd-8960-2598755abdda,1683,,,"[57.0, 54.0]",7538,45,,,,,,,,,,,,,,,,,,2,From Throw In,Sebastian Larsson,5617.0,Right Center Midfield,93,Sweden,790,['6af87061-6068-4507-9149-2254ce49fe57'],38,,,,,,,,,,,,,,,,,Sweden,790,00:00:38.413,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,c4c487fa-0443-456d-9c1f-764ab2ad3980,1686,,,"[106.0, 37.0]",7538,45,,,,,,,,,,,,,,,,,,2,From Throw In,Marcus Berg,11098.0,Right Center Forward,93,Sweden,790,['ce0ec57d-232c-4003-b540-33d7a123452b'],43,,,,,,,,,,,,,,,,,Sweden,790,00:00:43.533,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,8fea35f2-2751-4937-82f7-3734ad713679,1689,,,"[114.0, 43.0]",7538,46,,,,,,,,,,,,,,,,,,2,From Throw In,Marcus Berg,11098.0,Right Center Forward,94,Sweden,790,['5b573a22-8cef-4e6f-b49f-f61f9493a1c1'],9,,,,,,,,,,,,,,,,,Sweden,790,00:01:09.533,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,3a6b857d-92ca-4a2e-b5e1-1e0cb6f6d706,1693,,,"[91.0, 4.0]",7538,46,,,,,,,,,,,,,,,,,,2,From Throw In,Ja-Cheol Koo,5627.0,Left Center Midfield,94,Sweden,790,['712b7926-de07-4182-ae58-bde25e4e57f1'],21,,,,,,,,,,,,,,,,,South Korea,791,00:01:21.373,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,290fb9a4-be9e-49a2-972d-825dc85229ed,1695,,,"[50.0, 79.0]",7538,46,,,,,,,,,,,,,,,,,,2,From Throw In,Ola Toivonen,4417.0,Left Center Forward,95,Sweden,790,['47c327ba-525f-40bb-89a8-14999dd402dd'],45,,,,,,,,,,,,,,,,,Sweden,790,00:01:45.040,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,882ba6b2-ee03-49d4-9c44-cbd66b924bc9,1699,,,"[77.0, 4.0]",7538,46,,,,,,,,,,,,,,,,,,2,From Throw In,Ja-Cheol Koo,5627.0,Left Center Midfield,95,Sweden,790,['f91307ba-600f-4da9-b56b-19cdac54859b'],49,,,,,,,,,,,,,,,,,South Korea,791,00:01:49.120,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,a5c8b7bb-9ea9-4d13-b3cd-c4c6f994f30f,1701,,,"[47.0, 72.0]",7538,46,,,,,,,,,,,,,,,,,,2,From Throw In,Viktor Claesson,5613.0,Right Midfield,95,Sweden,790,['f4f86d2c-71ac-47f1-8263-4ca9ecd4f610'],49,,,,,,,,,,,,,,,,,Sweden,790,00:01:49.240,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,e0ee606e-b05b-4b32-8a44-ca72ea906341,1706,,,"[85.0, 12.0]",7538,47,,,,,,,,,,,,,,,,,,2,From Throw In,Ja-Cheol Koo,5627.0,Left Center Midfield,96,South Korea,791,"['3cefb5f5-cea4-46c9-9b1d-7a4b0d0b1bdc', 'e05ded46-9255-4e3c-81b6-4b7eedd9509d']",5,,,,,,,,,,,,,,,,,South Korea,791,00:02:05.692,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,3037e5cf-3ea0-41a7-a3e5-6576ae27cd82,1709,,,"[108.0, 67.0]",7538,47,,,,,,,,,,,,,,,,,,2,From Throw In,Yong Lee,5608.0,Right Back,96,South Korea,791,['58bca186-30f6-401f-9b5c-ef760b48cd7e'],9,,,,,,,,,,,,,,,,,South Korea,791,00:02:09.733,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,38a51cf9-2de4-472f-88f1-5792216cefa7,1715,,,"[25.0, 58.0]",7538,47,,,,,,,,,,,,,,,,,,2,Regular Play,Sebastian Larsson,5617.0,Right Center Midfield,97,Sweden,790,['ffb237e9-874f-4d0f-ae55-400bf45e074b'],22,,,,,,,,,,,,,,,,,Sweden,790,00:02:22.933,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,97df78d4-94e6-4fb3-8771-2b7589b9cdd2,1718,,,"[52.0, 23.0]",7538,47,,,,,,,,,,,,,,,,,,2,Regular Play,Andreas Granqvist,5607.0,Left Center Back,97,Sweden,790,['820cece8-71b2-42d8-b17a-f0ea194501d1'],33,,,,,,,,,,,,,,,,,Sweden,790,00:02:33.692,Ball Receipt*,
