ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[56.0, 74.0]",,,,,,,,3.199975,,,,,,,,,,,,,,9ddfe443-2206-4ad1-9bca-a77f980d2573,3215,,"[44.0, 77.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Leah Williamson,18999.0,Right Center Back,181,Arsenal WFC,968,"['696ccae3-0633-410b-9d3e-5f0d3258d7f3', '73cc584d-bdda-414e-8b95-815232081e60']",0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:00.507,Carry,
,,"[58.0, 10.0]",,,,,,,,1.697451,,,,,,,,,,,,,,99b302bc-a638-429e-aae6-12ee9932ed27,3218,,"[56.0, 23.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Emma Mukandi,18998.0,Left Back,181,Arsenal WFC,968,"['0e8e2ad7-3cbc-4fbe-bd9f-86f4bb654ef1', 'c6c5ff32-ddac-4b16-b1aa-0dbac42044a7']",6,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:06.632,Carry,
,,"[77.0, 12.0]",,,,,,,,0.89913,,,,,,,,,,,,,,c41f82bd-2749-4b12-a745-1b0dc5de9c8a,3221,,"[77.0, 12.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordan Nobbs,10192.0,Center Attacking Midfield,181,Arsenal WFC,968,"['38fc763d-60d7-4c55-9654-52094836b608', '8b9382cd-768e-4376-ab16-4f08835b94c4']",9,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:09.723,Carry,
,,"[78.0, 2.0]",,,,,,,,0.927473,,,,,,,,,,,,,,46c8bca8-67e3-4470-9d50-d4c196c0deb1,3224,,"[76.0, 3.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Bethany Mead,15619.0,Left Wing,181,Arsenal WFC,968,"['08c8e099-b038-401d-81b8-cfd6d9e3c8c8', '8b00a9ce-0215-4c8e-9532-3702162f483b', 'eef26fe7-c6cf-41ec-a0ad-7bd770f625e5']",11,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:11.370,Carry,True
,,"[61.0, 3.0]",,,,,,,,0.831794,,,,,,,,,,,,,,91409f70-1393-4f24-9edc-f110dd0c9d62,3228,,"[63.0, 3.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Emma Mukandi,18998.0,Left Back,181,Arsenal WFC,968,"['0ac6afd2-fc98-4a9b-bdbc-9fa7b1c3c5ce', 'f2fdf618-0bd6-433f-833f-f603d18a4e00']",13,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:13.436,Carry,
,,"[43.0, 23.0]",,,,,,,,1.166743,,,,,,,,,,,,,,2c4df582-1d7d-49b7-b557-5e124b0d4052,3231,,"[47.0, 23.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Louise Quinn,15621.0,Left Center Back,181,Arsenal WFC,968,"['7b5d064b-ff6b-4131-81f1-b8a99e58f5f7', 'cef5d8c7-b8b4-4236-b904-7db312022c44', 'f58d09ae-c0bd-4a10-837c-d858cb2ab800']",15,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:15.899,Carry,True
,,"[16.0, 30.0]",,,,,,,,0.36468,,,,,,,,,,,,,,4a68e6df-ccfd-4f00-92df-16db343f5b97,3235,,"[16.0, 30.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pauline Peyraud Magnin,15615.0,Goalkeeper,181,Arsenal WFC,968,"['53701fe6-8df6-4000-9900-844a95b52837', 'fbfc610c-54f3-43f7-89e1-729692dd43ad']",18,,,,,,,,,,,,,,,,Arsenal WFC,968,00:38:18.923,Carry,
,,"[70.0, 52.0]",,,,,,,,0.388065,,,,,,,,,,,,,,98d764ff-9953-4728-91c2-469acc766160,3245,,"[70.0, 51.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Connie Scofield,21556.0,Center Attacking Midfield,182,Birmingham City WFC,969,"['46db6011-cf56-4bf0-8b23-71b92c04b271', 'd74051ec-adb9-4e53-bace-28a0588f2485', 'fd0b93de-674a-4485-9087-684bafabe00c']",28,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:38:28.482,Carry,True
,,"[64.0, 44.0]",,,,,,,,1.821706,,,,,,,,,,,,,,dbd17a1e-ccc9-4634-9708-2e1fd62f7ff4,3249,,"[66.0, 41.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucy Staniforth,15562.0,Right Center Midfield,182,Birmingham City WFC,969,"['bab0c31b-3519-4fe3-a92e-80e78e8a7a04', 'e45d154c-565c-426e-8e14-4b0741945b89', 'f8846388-7a81-4cc5-8fd8-14b9ee3dc5fb']",29,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:38:29.821,Carry,True
,,"[65.0, 61.0]",,,,,,,,2.602757,,,,,,,,,,,,,,8e655105-61d1-4f17-af97-6d600945ac0b,3253,,"[60.0, 50.0]",19749,83,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Chloe Arthur,10193.0,Left Center Midfield,182,Birmingham City WFC,969,"['ac020f45-4565-40bc-8281-e529b51620c1', 'e68e6233-adee-4fa3-86d1-cc3819d0912f']",32,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:38:32.326,Carry,
