ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.572815,,,,,,,,,,,,2eceb4f8-3c6c-4701-8b42-4af5129388b8,142,,,"[46.0, 25.0]",19730,4,,,2.003204,,,Left Foot,,,"[40.0, 38.0]",,Ground Pass,14.3178215,,Maren Nævdal Mjelde,10395.0,,,,,,1,From Throw In,Magdalena Lilly Eriksson,4633.0,Left Center Back,10,Chelsea FCW,971,['011b7918-4a29-4a91-898b-cbf696b29e62'],5,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:05.301,Pass,
,,,,,,,,,,1.833606,,,,,,,,,,,,c6da5f23-3ccd-44da-824c-5f021dd5d1b5,145,,,"[48.0, 48.0]",19730,4,,,1.3016288,,,Left Foot,,,"[56.0, 77.0]",,Ground Pass,30.083218,,Millie Bright,4642.0,,,,,,1,From Throw In,Maren Nævdal Mjelde,10395.0,Center Back,10,Chelsea FCW,971,['143ef505-9234-45cd-b923-74dbca46ff0c'],9,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:09.147,Pass,
,,,,,,,,,,4.28327,,,,,,,,,,,,772c1ffc-8cd6-427c-890c-499f35002d95,149,,,"[57.0, 77.0]",19730,4,,,-0.6262614,,,Right Foot,,,"[104.0, 43.0]",,Low Pass,58.00862,Incomplete,,,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,10,Chelsea FCW,971,"['29fc1d33-44c4-4420-9ca0-76d49aef10be', '395f0193-e407-4219-99d6-52754d396841']",11,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:11.884,Pass,True
,,,,,,,,,,2.533909,,,,,,,,,,,,c3ff0eb0-cab8-4ead-913f-68eda099455f,152,,,"[24.0, 58.0]",19730,4,,,0.1864869,,,Right Foot,,,"[77.0, 68.0]",,High Pass,53.935146,Incomplete,,,,,,,,1,Regular Play,Marie Hourihan,19419.0,Goalkeeper,11,Brighton & Hove Albion WFC,965,['6c87ee4b-cb9d-425e-aaab-d3bdebed7faf'],38,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:04:38.697,Pass,
,,,,,,,,,,1.547036,,,,,,,,,,,,6c87ee4b-cb9d-425e-aaab-d3bdebed7faf,153,,,"[44.0, 13.0]",19730,4,,,1.1309538,,,Head,,,"[52.0, 30.0]",,High Pass,18.788294,Incomplete,,,,,,,Recovery,1,Regular Play,So-Yun Ji,4647.0,Left Defensive Midfield,11,Brighton & Hove Albion WFC,965,"['769df041-9fd9-49b8-b4f6-8a2d3bbae33a', 'c3ff0eb0-cab8-4ead-913f-68eda099455f']",41,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:41.231,Pass,
,,,,,,,,,,1.130671,,,,,,,,,,,,f71b17a5-cc52-4f8b-aa28-23d42c19fdd8,156,,,"[66.0, 46.0]",19730,4,,,-2.3765998,,,Left Foot,,,"[41.0, 22.0]",,Low Pass,34.655445,,Felicity Gibbons,16392.0,,,,,,1,Regular Play,Danielle Buet,20034.0,Right Center Midfield,11,Brighton & Hove Albion WFC,965,['11bd4d18-26bd-48b4-a425-9d50a2f3e93a'],43,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:04:43.981,Pass,
,,,,,,,,,,1.457415,,,,,,,,,,,,4caf8212-4046-4eae-877d-eb9d7dac2788,160,,,"[35.0, 18.0]",19730,4,,,-1.3961241,,,Left Foot,,,"[38.0, 1.0]",,Low Pass,17.262676,Out,Aileen Whelan,16374.0,,,,,,1,Regular Play,Felicity Gibbons,16392.0,Left Back,11,Brighton & Hove Albion WFC,965,['b848c98c-b46a-4778-aa1e-57d9bdf15d8d'],49,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:04:49.259,Pass,
,,,,,,,,,,0.620384,,,,,,,,,,,,8340f1e4-6b52-4e24-bf61-4a9fa1feaced,162,,,"[79.0, 80.0]",19730,4,,,-1.19029,,,,,,"[83.0, 70.0]",,Low Pass,10.770329,Incomplete,Erin Cuthbert,4660.0,,,,,Throw-in,1,From Throw In,Jessica Carter,19422.0,Right Midfield,12,Chelsea FCW,971,"['224f7aa2-c0af-4d13-9b6c-6e4bf5587146', 'ec7a142f-ab63-436d-aced-d4c79966dea7']",57,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:57.771,Pass,
,,,,,,,,,,0.911428,,,,,,,,,,,,6de7ce8a-7400-4df6-b077-1a66989a0850,167,,,"[37.0, 8.0]",19730,5,,,-2.896614,,,Right Foot,,,"[29.0, 6.0]",,Ground Pass,8.246211,,Felicity Gibbons,16392.0,,,,,,1,From Throw In,Danielle Buet,20034.0,Right Center Midfield,12,Chelsea FCW,971,['c33110ae-70bb-4466-a73c-e209a3c85c2f'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:05:00.167,Pass,
,,,,,,,,,,2.388428,,,,,,,,,,,,677b89cc-49d1-448e-8ddf-3b51dee0dfc9,170,,,"[29.0, 6.0]",19730,5,,,0.6781193,,,Left Foot,,,"[65.0, 35.0]",,Low Pass,46.227695,Incomplete,,,,,,,,1,From Throw In,Felicity Gibbons,16392.0,Left Back,12,Chelsea FCW,971,['571324bd-699b-4a89-8965-8978f8008fc5'],1,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:05:01.460,Pass,
