50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[68.4, 49.6]",,,,,,,,,,,1.22824,,,,,,,,,,,2cf33a78-53f5-41e8-8e2e-fcb9860737bc,564,,"[69.4, 53.0]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Freya Gregory,33010.0,Left Center Forward,41,Aston Villa,2647,"['3f8dad73-0698-4c61-8ee6-e709e07cd85d', 'fb21a4c9-edd6-4869-be9f-e5f241f1e185', 'ff4438ca-6017-4b1c-8510-72abbc9b4b5a']",57,,,,,,,,,,,,,,,,Aston Villa,2647,00:16:57.447,Carry,True
,,,,"[59.1, 19.7]",,,,,,,,,,,1.77529,,,,,,,,,,,f0641e7c-773e-420d-83ab-8ebf5e5da1ae,571,,"[62.7, 11.9]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kenza Dali,15421.0,Right Wing,42,West Ham United LFC,972,"['5301dd5e-a16a-482e-b616-7c7fc9d9d46a', 'ca1a2fb5-eb8e-4584-8f43-2b037ecffbba']",1,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:01.280,Carry,
,,,,"[62.7, 39.8]",,,,,,,,,,,1.129554,,,,,,,,,,,0425f412-8016-4c16-9caf-1fa374d4da6e,574,,"[59.1, 41.7]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kate Longhurst,18147.0,Right Center Midfield,42,West Ham United LFC,972,"['23846d4b-f136-4411-b860-01de58fc2bf3', '4482fd2c-fa36-4ce7-97ff-d43f6e810e39']",4,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:04.003,Carry,
,,,,"[73.7, 52.4]",,,,,,,,,,,2.86456,,,,,,,,,,,8359d724-449b-4567-bcb5-dfe734baab82,577,,"[73.1, 44.6]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emily Louise van Egmond,5076.0,Left Wing,42,West Ham United LFC,972,"['625e6b27-d081-486e-80da-3c091c4911ac', '6b1fcd40-caed-496c-92a4-5fea9567fd48']",5,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:05.931,Carry,
,,,,"[114.9, 64.9]",,,,,,,,,,,0.754576,,,,,,,,,,,f193fc77-10e1-4954-b6c7-1df21aa6a387,586,,"[114.9, 64.9]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cecilie Redisch Kvamme,31553.0,Right Wing Back,43,West Ham United LFC,972,"['35eb623d-753c-4447-bea9-695b4a262023', 'fde3c12d-5057-4ff4-8de8-5b153f7771c8']",40,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:40.919,Carry,
,,,,"[62.3, 34.9]",,,,,,,,,,,1.207366,,,,,,,,,,,82c0d36a-afcb-437a-ad50-39c5180d235f,593,,"[62.1, 32.8]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Grace Fisk,34232.0,Right Center Back,43,West Ham United LFC,972,"['16772d8a-3e66-4067-b473-9178e9c2d26c', '66ca401c-4957-4aa7-9f37-42d5a091871c']",49,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:49.641,Carry,
,,,,"[62.5, 74.4]",,,,,,,,,,,0.65516,,,,,,,,,,,b88a2690-9b3f-49db-8eea-6681cd6e7233,596,,"[62.3, 74.4]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gilly Louise Scarlett Flaherty,18151.0,Center Back,43,West Ham United LFC,972,"['2d205078-f1cf-4096-b94f-4cb5f3733f70', 'c1f43c8b-e4ef-43c7-8ed8-bff04a37f06d']",53,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:53.280,Carry,
,,,,"[71.8, 59.2]",,,,,,,,,,,0.908321,,,,,,,,,,,9ce8be17-f79d-425d-be9e-4898822a1c2f,599,,"[74.8, 58.6]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kenza Dali,15421.0,Right Wing,43,West Ham United LFC,972,"['7bd70364-2b5f-453b-8290-9b4d53a87316', 'ed56ec3a-f4a1-4aa7-b53f-7559ed95bf4d']",55,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:55.219,Carry,
,,,,"[54.9, 52.0]",,,,,,,,,,,1.248161,,,,,,,,,,,8c8ec0d2-e5af-493e-934d-5d099d9881f1,602,,"[54.9, 52.9]",3775599,17,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Grace Fisk,34232.0,Right Center Back,43,West Ham United LFC,972,"['15c06307-cc00-41b7-a463-9284447302d2', '6843a3c9-0142-4e9d-8132-22b70593e122']",58,,,,,,,,,,,,,,,,West Ham United LFC,972,00:17:58.082,Carry,
,,,,"[49.8, 27.1]",,,,,,,,,,,5.747445,,,,,,,,,,,3e1dfc3d-290c-4bb0-8958-f06a7c9ae5c5,605,,"[60.0, 9.3]",3775599,18,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hawa Cissoko,31157.0,Left Center Back,43,West Ham United LFC,972,"['98c1046c-c8fe-490b-ba24-6b72d8bb4256', 'd29a494d-3477-4741-b1ea-a48a49730743', 'e2c81eb3-055a-4f6d-8f71-7f8026847b3e']",1,,,,,,,,,,,,,,,,West Ham United LFC,972,00:18:01.929,Carry,True
,,,,"[24.0, 75.6]",,,,,,,,,,,2.68002,,,,,,,,,,,420007bc-abf7-4f72-83ab-6b792144a8be,618,,"[19.3, 75.2]",3775599,19,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stine Larsen,10102.0,Right Center Forward,45,West Ham United LFC,972,"['9b23ea04-3ca2-4d0f-b058-578eec00881c', 'f315ed5c-9e2e-4a26-b97f-06ab199a0999', 'f31fb4de-95e5-4a9b-940d-be20f5fbfb48']",0,,,,,,,,,,,,,,,,Aston Villa,2647,00:19:00.491,Carry,True
,,,,"[49.8, 26.9]",,,,,,,,,,,1.343338,,,,,,,,,,,ffbbadc4-ed6e-4c2f-9239-1383086492d0,625,,"[50.4, 27.7]",3775599,19,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kenza Dali,15421.0,Right Wing,47,West Ham United LFC,972,"['1c1b72b5-f5d3-4abf-8606-cbd53862e3bc', '1cfb9b1a-d5b9-4ae5-b5a4-22385a0a3b1b']",44,,,,,,,,,,,,,,,,West Ham United LFC,972,00:19:44.532,Carry,
,,,,"[15.6, 48.0]",,,,,,,,,,,3.320783,,,,,,,,,,,132f5f81-4536-4de5-87d4-169d0139e0dd,634,,"[7.7, 47.2]",3775599,20,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Courtney Brosnan,31555.0,Goalkeeper,49,West Ham United LFC,972,"['0eb714b9-fdd7-4b45-9b07-d5a46b1c7dc9', '393ce65c-557f-4e54-be49-fcb921402d0f', '6d7be799-f3e6-4702-b3c1-6894c8239cdb']",27,,,,,,,,,,,,,,,,West Ham United LFC,972,00:20:27.281,Carry,True
