ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.582737,,,,,,,,,,,8334d62e-42ef-45cb-b091-f97643fb662a,97,,,"[34.9, 49.2]",3775601,2,,,,-2.919094,,Right Foot,,,"[12.8, 44.2]",Ground Pass,,22.658552,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,9,Manchester United,1475,['e5d1770f-50bf-4cc9-9c90-2ffca12d1b9a'],54,,,,,,,,,,,,,,,,Manchester United,1475,00:02:54.768,Pass,
,,,,,,,,,,,,,,1.127966,,,,,,,,,,,4a6ef6c1-c587-4759-8844-40995bb72df4,100,,,"[12.8, 44.2]",3775601,2,,,,-1.0507302,,Right Foot,,,"[19.5, 32.5]",Ground Pass,,13.482581,,,Millie Turner,31536.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,9,Manchester United,1475,['d4b3cebd-d256-436c-9130-1f1f6ffe7ae7'],57,,,,,,,,,,,,,,,,Manchester United,1475,00:02:57.340,Pass,
,,,,,,,,,,,,,,1.562629,,,,,,,,,,,39e8f3af-9451-4b5c-bf45-eb9fb29eb4ee,104,,,"[21.0, 32.5]",3775601,2,,,,2.2054482,,Right Foot,,,"[14.3, 41.6]",Ground Pass,,11.300443,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,9,Manchester United,1475,['79f758b4-df01-4a39-ac1b-395d08cfdc71'],59,,,,,,,,,,,,,,,,Manchester United,1475,00:02:59.867,Pass,
,,,,,,,,,,,,,,2.160972,,,,,,,,,,,b95af1da-8053-41e4-9339-915f92bc3dda,108,,,"[10.6, 49.6]",3775601,3,,,,0.44552767,,Right Foot,,,"[35.1, 61.3]",Ground Pass,,27.150322,,,Ella Toone,31534.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,9,Manchester United,1475,['e8505b88-44cb-4581-b8ce-b15fe59afef3'],2,,,,,,,,,,,,,,,,Manchester United,1475,00:03:02.179,Pass,
,,,,,,,,,,,,,,1.28475,,,,,,,,,,,8c1461f8-faeb-47b9-b1e0-5e9159ac2208,111,,,"[35.8, 61.3]",3775601,3,,,,1.5167948,,Right Foot,,,"[36.2, 68.7]",Ground Pass,,7.410803,,,Ona Batlle Pascual,46639.0,,,,,,,1,Regular Play,Ella Toone,31534.0,Right Center Midfield,9,Manchester United,1475,['b42f826b-030b-4b1f-9b39-638540dbc041'],5,,,,,,,,,,,,,,,,Manchester United,1475,00:03:05.131,Pass,
,,,,,,,,,,,,,,1.075861,,,,,,,,,,,d2324888-ea11-48aa-82a5-e86274578256,113,,,"[36.2, 68.7]",3775601,3,,,,-0.26211983,,Right Foot,,,"[44.4, 66.5]",Ground Pass,,8.489994,,,Ella Toone,31534.0,,,,,,,1,Regular Play,Ona Batlle Pascual,46639.0,Right Back,9,Manchester United,1475,['d183ae58-37dc-4524-b31b-9c69c43963fd'],6,,,,,,,,,,,,,,,,Manchester United,1475,00:03:06.415,Pass,
,,,,,,,,,,,,,,1.934995,,,,,,,,,,,21d4a9e5-55d9-4bf3-b98b-43f09217e4ee,117,,,"[78.0, 60.9]",3775601,3,,,,-1.1241925,,Right Foot,,,"[91.6, 32.5]",Ground Pass,,31.48841,,,Kirsty Hanson,31532.0,,,,,,,1,Regular Play,Ella Toone,31534.0,Right Center Midfield,9,Manchester United,1475,['c22c63c6-b024-4548-8085-2a8aeeacc5ce'],11,,,,,,,,,,,,,,,,Manchester United,1475,00:03:11.374,Pass,
,,,,,,,,,,,,,,1.134964,,,,,,,,,,,7005d2a6-8dea-4c5d-b8dd-c519ebecd65a,121,,,"[116.5, 13.3]",3775601,3,,,,-2.7233684,,Right Foot,,,"[105.7, 8.5]",Ground Pass,,11.818629,,,Kirsty Smith,10196.0,,,,,,,1,Regular Play,Kirsty Hanson,31532.0,Left Wing,9,Manchester United,1475,['b0188b2a-6455-4d74-b848-3198fa32935d'],19,,,,,,,,,,,,,,,,Manchester United,1475,00:03:19.109,Pass,
,,,,,,,,,,,,,,0.727282,,,,,,,,,,,646b2bfa-90b2-4b85-9909-6f4b4917a4d5,123,,,"[105.7, 10.2]",3775601,3,,,,0.26836622,,Right Foot,,,"[113.7, 12.4]",Ground Pass,,8.296988,,,Kirsty Hanson,31532.0,,,,,,,1,Regular Play,Kirsty Smith,10196.0,Left Back,9,Manchester United,1475,['e055b517-a544-4d23-b8dd-e9a866d54fac'],20,,,,,,,,,,,,,,,,Manchester United,1475,00:03:20.244,Pass,
,,,,,,,,,,,,,,1.337558,,,,,,,,,,,d1a6f1a5-3b81-4931-9691-9e10b3cb687a,126,,,"[113.7, 12.4]",3775601,3,,,,2.4078202,,Left Foot,,,"[96.4, 28.0]",Ground Pass,,23.29485,Incomplete,,Katie Zelem,31540.0,,,,,,,1,Regular Play,Kirsty Hanson,31532.0,Left Wing,9,Manchester United,1475,"['5aa7f749-6dcc-4b4e-b53c-34975c06ed34', 'bf41636c-5243-40b6-a6c7-e6bb516ded36']",23,,,,,,,,,,,,,,,,Manchester United,1475,00:03:23.322,Pass,
