ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.993771,,,,,,,,,,,,5bb5b3f1-e0b1-4d99-ace0-bd130b8817ef,2933,,,"[54.7, 75.6]",3775541,77,,,,,-1.7960731,,Right Foot,,,"[52.5, 66.0]",,Ground Pass,9.848858,,Incomplete,Katie Zelem,31540.0,,,,,,,2,From Throw In,Jessica Sigsworth,31535.0,Center Forward,151,Manchester United,1475,"['05d7bee1-5b8d-4c7b-9f58-7b83a13d924d', '29e47dbc-351c-4b27-af70-d91d29a6c0d0']",28,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:28.815,Pass,
,,,,,,,,,,,,,,,,1.548124,,,,,,,,,,,,9a3cf4aa-2acb-48a2-8f3a-b044ae6bd2cb,2937,,,"[53.6, 80.0]",3775541,77,,,,,-0.7156029,,,,,"[71.2, 64.7]",,Low Pass,23.320591,,,Ivana Fuso,61029.0,,,,,,Throw-in,2,From Throw In,Martha Harris,32618.0,Right Back,152,Manchester United,1475,['b004ee3e-8183-4cd0-9c26-eb7fb33d7c0a'],38,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:38.785,Pass,
,,,,,,,,,,,,,,,,1.768939,,,,,,,,,,,,c1bb57b8-072a-4435-a63f-20ba5aef3ed5,2941,,,"[76.4, 72.4]",3775541,77,,,,,2.172251,,Right Foot,,,"[72.9, 77.5]",,Ground Pass,6.185467,,,Jessica Sigsworth,31535.0,,,,,,,2,From Throw In,Ivana Fuso,61029.0,Right Wing,152,Manchester United,1475,"['9afc6386-0e9c-4e7b-887a-4836106fdd67', 'b3aaac70-106e-4135-9cb4-548f024026d4']",43,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:43.705,Pass,True
,,,,,,,,,,,,,,,,0.98145,,,,,,,,,,,,774b3294-5024-4d76-9cd3-8adcc4663164,2943,,,"[72.9, 77.5]",3775541,77,,,,,-2.2505288,,Right Foot,,,"[67.0, 70.2]",,Low Pass,9.38616,,,Katie Zelem,31540.0,,,,,,,2,From Throw In,Jessica Sigsworth,31535.0,Center Forward,152,Manchester United,1475,['e55567cf-8655-49e3-93e9-b1ffdb605cd6'],45,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:45.474,Pass,
,,,,,,,,,,,,,,,,1.519158,,,,,,,,,,,,97cf702f-ddef-4447-84d3-9029bbb2e7ae,2946,,,"[67.0, 67.5]",3775541,77,,,,,-2.2222059,,Right Foot,,,"[53.2, 49.4]",,Ground Pass,22.760712,,Incomplete,Millie Turner,31536.0,,,,,,,2,From Throw In,Katie Zelem,31540.0,Right Defensive Midfield,152,Manchester United,1475,"['085f6a69-7f12-426d-b9d2-87cabd071c4f', '29ea8383-ee06-4a9e-b898-68e8b31f3694']",47,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:47.757,Pass,
,,,,,,,,,,,,,,,,2.640667,,,,,,,,,,,,38ce4a8f-e0d1-456b-b3e3-0bf58a81a74f,2951,,,"[83.7, 30.4]",3775541,77,,,,,0.13209344,,Right Foot,,,"[112.3, 34.2]",,High Pass,28.851343,,Incomplete,Stine Larsen,10102.0,,,,,,,2,From Throw In,Mana Iwabuchi,25610.0,Left Center Midfield,152,Manchester United,1475,"['03098e8a-c236-45dc-af77-22f2e4f29c94', 'bd052a15-6210-48f9-a2f8-da56820b4e6b', 'f4eae6cc-52df-4399-b0ce-c1b81e997669']",53,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:32:53.850,Pass,True
,,,,,,,,,,,,,,,,2.780855,,,,,,,,,,,,12b0cbfb-6767-42a7-a1a4-c827bc502da5,2955,,,"[12.7, 47.3]",3775541,78,,,,,0.8978253,,Keeper Arm,,,"[34.7, 74.9]",,High Pass,35.295326,,,Martha Harris,32618.0,,,,,,,2,From Throw In,Mary Alexandra Earps,31538.0,Goalkeeper,152,Manchester United,1475,['9e487038-519c-457c-a572-e8f6b139546e'],11,,,,,,,,,,,,,,,,,,Manchester United,1475,00:33:11.184,Pass,
,,,,,,,,,,,,,,,,1.460868,,,,,,,,,,,,5718a641-4aa0-4444-ab8d-f333050b5e63,2958,,,"[36.0, 68.4]",3775541,78,,,,,-1.5100018,,Left Foot,,,"[36.7, 56.9]",,Ground Pass,11.521285,,,Katie Zelem,31540.0,,,,,,,2,From Throw In,Martha Harris,32618.0,Right Back,152,Manchester United,1475,['a7e98920-a2b4-4eb6-b1a0-47c09e686573'],15,,,,,,,,,,,,,,,,,,Manchester United,1475,00:33:15.766,Pass,
,,,,,,,,,,,,,,,,1.517569,,,,,,,,,,,,8edc6b77-3033-42c8-826e-7e0699151971,2961,,,"[43.2, 58.8]",3775541,78,,,,,1.0571903,,Right Foot,,,"[49.8, 70.5]",,Ground Pass,13.433167,,,Jackie Groenen,10654.0,,,,,,,2,From Throw In,Katie Zelem,31540.0,Right Defensive Midfield,152,Manchester United,1475,['025ec44e-8814-45a8-94ab-0b6e084db64a'],17,,,,,,,,,,,,,,,,,,Manchester United,1475,00:33:17.660,Pass,
,,,,,,,,,,,,,,,,1.627337,,,,,,,,,,,,55e01e44-1cc8-4d03-87dd-ac35bd671cd8,2969,,,"[40.2, 80.0]",3775541,79,,,,,-0.8153293,,,,,"[56.4, 62.8]",,High Pass,23.627949,,,Jane Ross,4653.0,,,,,,Throw-in,2,From Throw In,Martha Harris,32618.0,Right Back,153,Manchester United,1475,['7f29ec10-7905-410b-b979-1f7d004085d8'],10,,,,,,,,,,,,,,,,,,Manchester United,1475,00:34:10.328,Pass,
