50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,True,,,,,,,,,,,,5fa59b75-60e3-4e40-b3f8-84946591d732,388,,"[10.7, 50.9]",2275146,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Megan Finnigan,18254.0,Right Center Back,24,Manchester United,1475,"['3b73ebf8-96fa-4b1f-b13f-5f29380cf678', '87219f48-d885-4659-844a-94c8c600e653']",6,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:10:06.680,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,,,d55d8791-4aa6-4151-9e8a-cdd31865f7b5,411,,"[70.5, 72.7]",2275146,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jessica Sigsworth,31535.0,Center Forward,26,Everton LFC,967,"['1fce587b-a686-4f48-9713-d149b50c9c93', '33ab10a7-b713-4602-aa84-b8b06fd3ac9a']",48,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:11:48.773,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,df42d191-14f5-4d0e-bc1c-52d19ef1006a,558,,"[55.3, 61.3]",2275146,16,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,30,Everton LFC,967,"['ba791253-4a56-4e82-9ed6-ed8a6cab47ce', 'e2280a3c-380e-4f10-a215-83129058dc64']",49,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:16:49.350,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,,,e967be7c-09b4-45ef-b4e7-e98864b3e076,701,,"[48.9, 34.6]",2275146,20,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lucy Hope,16386.0,Right Defensive Midfield,35,Manchester United,1475,"['45359cb7-cc28-44e4-9d59-96845e02ead8', 'b035c283-c6bb-445f-9d68-290532e9ac39', 'ce0d0ad9-2fb0-49fb-ae40-5a5cb54f17d0']",40,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:20:40.525,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,61c701af-1943-4e40-83ac-1b3fe2f6ef44,911,,"[56.3, 60.3]",2275146,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Abbie McManus,4648.0,Right Center Back,47,Everton LFC,967,"['09f517cc-c5cd-439b-b3a8-54d133404ac3', 'b5e47656-cda2-41a4-b77a-52a6e4e828d5']",36,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:27:36.437,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,True,,,,Handball,,,,,,,,,,,236d0c08-7ac0-4950-91b4-35c421d05838,1032,,"[57.6, 76.5]",2275146,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Esme Beth Morgan,4649.0,Right Back,55,Manchester United,1475,['aedd0b14-15d7-42fa-8da0-fe5c3bbf899e'],0,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:31:00.480,Foul Committed,
,,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,,,e6c983a5-6e7a-4f6b-a558-a3f78afdb90d,1036,,"[55.9, 77.8]",2275146,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Esme Beth Morgan,4649.0,Right Back,55,Manchester United,1475,"['08845ee0-449d-4e7c-8c52-c500335b86a0', 'b0d63c8a-7c7c-4102-ac1a-4217ea580061', 'fe8dd29e-05b4-492e-9589-9e276ba605bd']",1,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:31:01.030,Foul Committed,
,,,,,,,,,,,,True,,,,,,,0.0,True,,,,,,,,,,,,,,,7793cf8a-24be-4243-a101-641beb779023,1060,,"[43.9, 59.2]",2275146,31,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Chloe Kelly,15570.0,Right Wing,56,Everton LFC,967,"['0e5759f9-8d66-47ca-a0c8-add262c6598f', '806f9149-f6da-4407-aa36-e4866b6846d9']",47,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:31:47.742,Foul Committed,
,,,,,,,,,,,,True,,,,,,,0.0,,Yellow Card,,,,,,,,,,,,,,e7cc5ba0-a2e4-48e7-b2a4-5cdfc9dd6700,1092,,"[75.6, 9.6]",2275146,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hayley Ladd,19501.0,Left Defensive Midfield,58,Everton LFC,967,['fb1c1f15-b719-4362-8093-01ee4c5c1c61'],18,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:18.339,Foul Committed,
,,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,,,086a6927-19c9-4c26-9bd2-573fdae21b0f,1144,,"[46.7, 32.0]",2275146,34,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maéva Clemaron,31713.0,Left Defensive Midfield,63,Manchester United,1475,"['ca6de2fd-50e8-4ec1-88e9-396e3aa17c35', 'dc509cdc-dc03-41e2-b326-3d5e9e7b1c19']",16,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:34:16.088,Foul Committed,
