ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[20.9, 25.4]",,,,,,,,,,,,1.12317,,,,,,,,,,,,076cafdb-f32f-4a63-bd43-7f39b8566ba9,1689,,"[18.7, 25.7]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kerys Harrop,15569.0,Left Center Back,89,Birmingham City WFC,969,"['4eeb909c-51f5-4af8-afe0-3ef73908af1a', 'f3648948-7327-415a-9cd6-1540ef93f265']",58,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:58.000,Carry,
,,,,,"[9.8, 44.1]",,,,,,,,,,,,0.898429,,,,,,,,,,,,3ad4134d-ecab-43d4-934d-ae96905e6dc7,1692,,"[9.8, 44.1]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,89,Birmingham City WFC,969,"['7cc3c777-7987-4089-904c-d573e514f4ec', 'b739e4b3-1c58-4f03-918d-85fd3506d355']",1,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:42:01.561,Carry,
,,,,,"[14.9, 54.1]",,,,,,,,,,,,0.712635,,,,,,,,,,,,351c6d1e-1a2f-4653-88b2-f5ffced0c8cb,1695,,"[14.9, 54.1]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Georgia Brougham,15574.0,Right Center Back,89,Birmingham City WFC,969,"['7c6d39da-4a5b-4bd6-87ea-57559aee4712', '9d0c7f04-e91b-4605-9f1d-df65ef2ebc45']",3,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:42:03.474,Carry,
,,,,,"[10.3, 44.5]",,,,,,,,,,,,6.268911,,,,,,,,,,,,c66930a7-361f-48e7-9845-4117c6fbb604,1698,,"[5.2, 43.0]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,89,Birmingham City WFC,969,"['0e156ba5-6d65-4940-8e92-a1864b5ab54f', '76683c5a-507b-4e20-bd65-be413c4c501d']",6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:42:06.427,Carry,
,,,,,"[63.7, 52.7]",,,,,,,,,,,,1.258835,,,,,,,,,,,,9a5e68fe-e039-47b9-bbb4-46ae6c4a6959,1703,,"[57.1, 52.0]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,90,Chelsea FCW,971,"['259d2439-99fb-4f8f-9753-9f91b2fb0b16', 'c0fbd617-1d60-49cf-898a-aaa920cbcbc0', 'c718b1f4-9f37-4bd4-8407-07c917483c0d']",16,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:42:16.477,Carry,True
,,,,,"[86.8, 58.6]",,,,,,,,,,,,1.047157,,,,,,,,,,,,65b32a2a-25b3-4134-bd94-074abe19866b,1707,,"[87.0, 56.4]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,90,Chelsea FCW,971,"['5b42beed-3dd4-4de5-af46-254e95a47cba', '8e91932a-5368-4465-8a33-ec5c4caab7b1', 'fa902922-aa8a-4a05-8fa3-ff7f8eff4b14']",18,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:42:18.927,Carry,True
,,,,,"[85.5, 64.2]",,,,,,,,,,,,2.448693,,,,,,,,,,,,32c5660c-ffde-48e8-901f-79bcb54732d4,1711,,"[86.8, 58.6]",2275074,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,90,Chelsea FCW,971,"['1f065437-6f37-4e0f-8842-1574eb3c87b9', '275a2dc7-2e13-48c8-94d9-d8ef7b828ca2', '2ba726ea-7702-499a-9340-d51260e85ade', '5b42beed-3dd4-4de5-af46-254e95a47cba']",19,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:42:19.974,Carry,True
,,,,,"[110.5, 2.3]",,,,,,,,,,,,1.809577,,,,,,,,,,,,243b93e8-5ae8-46fa-b7ba-25427f496823,1720,,"[105.9, 17.4]",2275074,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Millie Bright,4642.0,Right Center Back,91,Chelsea FCW,971,"['59962276-35fd-4366-b572-f525c68fff31', '70a6f663-61a3-4ca4-b30c-ebadbc9f24d4', 'ddc18353-fc1c-4ed0-bce3-31298edd1f5f']",5,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:43:05.677,Carry,True
,,,,,"[93.0, 5.4]",,,,,,,,,,,,1.379041,,,,,,,,,,,,283ca1fb-14af-4456-93ef-4892d78655b4,1723,,"[89.4, 5.2]",2275074,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jonna Ann-Charlotte Andersson,10222.0,Left Back,91,Chelsea FCW,971,"['26f98ade-8ece-4cf1-ab0c-2f6797d15589', '691a2b18-bc5d-4aed-827a-8a71cebae67b', 'be92e72f-368a-488f-aaaa-397499ad9593']",9,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:43:09.558,Carry,True
,,,,,"[55.7, 57.5]",,,,,,,,,,,,1.193947,,,,,,,,,,,,d326ae4d-9062-4376-95e8-a9a7cbcd7b12,1728,,"[55.3, 59.1]",2275074,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,93,Chelsea FCW,971,"['151738ac-6fde-4101-9ee9-5a222c3cc478', 'a4000d17-1f4a-4434-beed-bd15b7c6b045']",46,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:43:46.932,Carry,
