bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[110.6, 75.6]",,,,,,,,,,,,2.769272,,,,,,,,,,,,,,,7104c3e2-6cab-422b-9747-34aa8ea867e0,2202,,"[110.6, 76.4]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Craig Dawson,3523.0,Right Back,127,West Bromwich Albion,27,"['7a4d5bba-234c-438f-9ba3-2db629203441', 'bca19598-2075-4122-9728-5f701f8c5f0a', 'fe07853d-ec48-4365-8727-2ea7c9b716ae']",0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:20:00.159,Carry,True
,,,,,"[48.3, 4.6]",,,,,,,,,,,,3.967845,,,,,,,,,,,,,,,6ca2a879-5e09-4f40-a708-7684910b8a4b,2208,,"[55.9, 3.4]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jermain Defoe,3337.0,Center Forward,128,Sunderland,41,"['17580a25-b665-4aa6-a3ae-0cd566c72d63', '7e8671e8-5fb3-4176-baca-9e9846b9072e', 'c551a946-491f-452f-a570-6f531e6ff961']",5,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:05.907,Carry,True
,,,,,"[44.8, 4.6]",,,,,,,,,,,,1.71075,,,,,,,,,,,,,,,9dce5482-1f21-4ef2-b651-11d70de3678b,2212,,"[48.3, 4.6]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jermain Defoe,3337.0,Center Forward,128,Sunderland,41,"['17580a25-b665-4aa6-a3ae-0cd566c72d63', '538d5f72-3ac2-4ec3-8cb8-bd0aeeb37a93', '7ec18c85-17eb-4eec-97b6-c850327be218', 'c551a946-491f-452f-a570-6f531e6ff961']",9,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:09.875,Carry,True
,,,,,"[54.2, 26.2]",,,,,,,,,,,,0.748823,,,,,,,,,,,,,,,eacd311a-da12-4fcb-80c4-1abb2577df99,2215,,"[54.7, 26.3]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Kirchhoff,13846.0,Center Defensive Midfield,128,Sunderland,41,"['1d90cbc1-8a0a-4088-831a-3c6f878a09f9', 'ca452042-43ad-4229-a794-9411dab78200', 'e176f26a-e8a3-4c3c-9750-1e8ae94a521c']",13,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:13.158,Carry,True
,,,,,"[30.0, 16.7]",,,,,,,,,,,,3.634694,,,,,,,,,,,,,,,548dec15-3138-4f4b-9646-54580eb4b2cb,2223,,"[24.8, 26.1]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Craig Gardner,9485.0,Left Midfield,128,Sunderland,41,"['1bf2b9a5-a018-4fcf-a51b-7f67a6bb9e04', '4ef4b874-3b51-4769-a4a2-cec47c0c5ec8', 'a22eb215-7c38-402a-b677-41e76fac838c']",18,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:20:18.428,Carry,True
,,,,,"[32.3, 79.1]",,,,,,,,,,,,1.505674,,,,,,,,,,,,,,,cf1b62a4-d77b-4e49-9027-733b1a74f06d,2229,,"[32.0, 75.7]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lamine Koné,13286.0,Right Center Back,128,Sunderland,41,"['00c100d5-b2e9-4506-8755-9c79c29b6239', '375b4a51-e41b-4f8f-bedd-957953fb385d', 'bd4b8f2c-b29f-4120-88ee-e7b85bd73e5d']",26,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:26.651,Carry,True
,,,,,"[48.1, 73.8]",,,,,,,,,,,,1.099319,,,,,,,,,,,,,,,3618006c-4318-4fab-8f42-f5ad9ea36cc9,2232,,"[48.1, 72.6]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Kirchhoff,13846.0,Center Defensive Midfield,128,Sunderland,41,"['38b22a9f-c8f4-4a2d-9fc3-474fbe4212fa', '50fac6e0-117e-4d0e-8241-af6e78c13797', 'c0b34314-1b75-4fa8-9d12-b48fc58fc1cb']",29,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:29.670,Carry,True
,,,,,"[58.6, 53.1]",,,,,,,,,,,,0.783355,,,,,,,,,,,,,,,1d0859a5-0b10-4ce2-bc7e-4a460bfb99c5,2236,,"[62.6, 54.6]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Right Center Midfield,128,Sunderland,41,"['beb2388b-024c-4fcb-ae2d-9e4478d56e93', 'c4f0b44e-60b8-4924-923e-f9bf3ad1c10d']",32,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:32.274,Carry,
,,,,,"[58.1, 25.2]",,,,,,,,,,,,2.64,,,,,,,,,,,,,,,0a1d6dfb-40af-457e-b81d-df94fadc4e43,2243,,"[43.1, 38.7]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Younes Kaboul,4746.0,Left Center Back,128,Sunderland,41,"['8b6cd2a8-f2c6-4c25-b45c-7b0a8db0e91d', 'ed9b7f9a-cd5d-4bf1-9881-fca313e7f25d']",37,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:37.411,Carry,
,,,,,"[49.5, 25.6]",,,,,,,,,,,,1.124868,,,,,,,,,,,,,,,3c221399-83ab-4673-affd-ac80c21c4cfc,2246,,"[50.6, 22.6]",3754175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yann Gérard M''Vila,4429.0,Left Center Midfield,128,Sunderland,41,"['39b7c17d-2072-4b4d-98e1-d7fda672b7d1', 'b7a6c5ba-5495-4cce-9e11-039fd70b950d']",41,,,,,,,,,,,,,,,,,,,Sunderland,41,00:20:41.167,Carry,
