ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[64.0, 9.4]",,,,,,,,,,,,1.323545,,,,,,,,,,,,,,5e2d12ad-c58a-4133-a319-77968426413c,2910,,,"[64.3, 14.0]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kelechi Promise Iheanacho,3708.0,Right Center Forward,138,Manchester City,36,"['2e0125da-a821-45ac-8818-5cc699a020b2', '33986818-a33d-4af6-b1d3-21853773567c', 'e490a10d-583d-45df-9a32-757e8024f132', 'e6795fff-729e-45c8-8dca-fd1d0373b718']",28,,,,,,,,,,,,,,,,Manchester City,36,00:30:28.137,Carry,True
,,,"[56.1, 16.8]",,,,,,,,,,,,0.08,,,,,,,,,,,,,,3f2ce26f-2e64-4d02-a645-5d50a4a553a2,2914,,,"[56.1, 16.8]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Martín Gastón Demichelis,19288.0,Right Defensive Midfield,138,Manchester City,36,"['58b8ec70-069f-4637-b8aa-423f083641d1', '87a6be75-a81f-43d2-a083-d42f28b90285']",30,,,,,,,,,,,,,,,,Manchester City,36,00:30:30.306,Carry,
,,,"[69.0, 8.0]",,,,,,,,,,,,0.754584,,,,,,,,,,,,,,5ab58889-b16e-490b-aa71-593094e73c0b,2917,,,"[64.0, 11.1]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kelechi Promise Iheanacho,3708.0,Right Center Forward,138,Manchester City,36,"['3fb8ddcf-18a6-4b34-843c-b830f877bbaf', 'c83bc038-c489-4d8a-9f45-a0891f7fc558', 'f9926956-54ad-4de4-b0fa-bdcccbfeae93']",31,,,,,,,,,,,,,,,,Manchester City,36,00:30:31.538,Carry,True
,,,"[63.0, 4.2]",,,,,,,,,,,,1.929936,,,,,,,,,,,,,,8acf0508-68be-44cb-9d2f-2e1859ca03ef,2922,,,"[69.3, 2.9]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Delph,4597.0,Left Midfield,138,Manchester City,36,"['29fc2e62-545f-4229-9262-8fa18b7c9648', '4796753a-8d7c-4c44-bfbc-912d4c6fbd6d', '5c160e7b-ac1d-496a-a00e-a9585dfe40f5', '64c4f774-4b85-49ac-8f87-2f6990a3994d']",32,,,,,,,,,,,,,,,,Manchester City,36,00:30:32.961,Carry,True
,,,"[41.1, 49.5]",,,,,,,,,,,,1.110604,,,,,,,,,,,,,,88c8e266-e24d-4790-bdf7-0f002ae78462,2929,,,"[40.7, 44.4]",3754307,76,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,139,Manchester City,36,"['31bb594d-7658-44d4-be38-2fed660557a0', 'a5b9403e-d1e8-4958-beab-17dcef5c90a5']",48,,,,,,,,,,,,,,,,Manchester City,36,00:31:48.062,Carry,
,,,"[53.3, 56.7]",,,,,,,,,,,,1.537782,,,,,,,,,,,,,,cde73d99-ae18-4e72-9a6e-673e2c477af1,2932,,,"[51.4, 55.8]",3754307,76,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Martín Gastón Demichelis,19288.0,Right Defensive Midfield,139,Manchester City,36,"['15c81e55-7b5d-472a-b7eb-05a437f72f6d', '7ec253bf-eca7-47d4-b8cc-aebf3ab4db09']",50,,,,,,,,,,,,,,,,Manchester City,36,00:31:50.597,Carry,
,,,"[65.2, 45.8]",,,,,,,,,,,,3.415783,,,,,,,,,,,,,,58129e2c-1fc9-4c7d-8cfb-63951107710c,2935,,,"[72.7, 45.8]",3754307,76,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Wilfried Guemiand Bony,3598.0,Left Center Forward,139,Manchester City,36,"['04038cc0-0611-4bed-aea3-d853a4c6ab65', '5261af0e-ce1c-422a-88d1-c4d6d33c92bf', '770f0983-6866-43f8-9ad9-a496996aa6dc']",53,,,,,,,,,,,,,,,,Manchester City,36,00:31:53.242,Carry,True
,,,"[56.8, 77.0]",,,,,,,,,,,,0.962656,,,,,,,,,,,,,,9dc7a320-2503-4ce9-9397-6d993be4b7b9,2939,,,"[57.5, 76.6]",3754307,76,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pablo Javier Zabaleta Girod,3052.0,Right Back,139,Manchester City,36,"['0298606c-a722-4cc4-aa15-617a3a1052f1', '1f17fe5b-a5be-4b55-bb84-8c2d190a6fc3']",58,,,,,,,,,,,,,,,,Manchester City,36,00:31:58.599,Carry,
,,,"[56.6, 64.8]",,,,,,,,,,,,0.798748,,,,,,,,,,,,,,af15154e-2df2-4bf2-9613-af75c29a3bb3,2942,,,"[56.1, 64.9]",3754307,77,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Martín Gastón Demichelis,19288.0,Right Defensive Midfield,139,Manchester City,36,"['054c9bfc-c616-493f-aab4-5518e97434ae', '5371c28e-77a1-4c9e-9e31-ea1fa24277cc', 'c1206c64-1429-494b-9b5c-5b2f6473487b']",0,,,,,,,,,,,,,,,,Manchester City,36,00:32:00.750,Carry,True
,,,"[40.3, 59.5]",,,,,,,,,,,,0.547344,,,,,,,,,,,,,,aa88b7d9-0414-4c3a-b14b-580f5c0bebc3,2946,,,"[41.3, 64.5]",3754307,77,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,139,Manchester City,36,"['0d7e24ac-aca0-4ae7-831b-763617f86b54', '364e038e-5561-4ef9-a66c-7073b32f9f92']",2,,,,,,,,,,,,,,,,Manchester City,36,00:32:02.945,Carry,
