bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.616485,,,,,,,,,,,,b9174f14-6cac-4467-9a7b-a396ad8a9d8a,285,,"[49.9, 70.3]",3754089,7,,,,,-0.032246884,,Right Foot,,,,"[62.3, 69.9]",,Ground Pass,,12.40645,,,,,Matt Ritchie,3049.0,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,19,AFC Bournemouth,28,['a16a0838-6435-47a2-ab22-be94e8766b92'],15,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:15.271,Pass,
,,,,,,,,,,,,,,,,0.750584,,,,,,,,,,,,fdec525d-e77d-4223-a45e-9bd85a870220,289,,"[57.2, 68.4]",3754089,7,,,,,1.6683121,,Right Foot,,,,"[56.3, 77.6]",,Ground Pass,,9.2439165,,,,,Dan Gosling,3343.0,,,,,,1,From Throw In,Matt Ritchie,3049.0,Right Midfield,19,AFC Bournemouth,28,"['995f81ec-c331-42e3-82d0-6cd12dea832d', 'efeba924-2ee5-40b5-9909-71c43f250913']",16,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:16.943,Pass,True
,,,,,,,,,,,,,,,,0.851386,,,,,,,,,,,,0a952ce0-4408-4575-996b-a7a848778445,292,,"[56.3, 77.6]",3754089,7,,,,,0.028161567,,Right Foot,,,,"[63.4, 77.8]",,Ground Pass,,7.102816,,,,,Adam Smith,6409.0,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,19,AFC Bournemouth,28,['59e59410-d162-4e99-8f70-69f7bfb38b6e'],17,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:17.774,Pass,
,,,,,,,,,,,,,,,,0.64138,,,,,,,,,,,,e4112c38-04f2-4d0a-84d3-1297f6a9a2bc,296,,"[57.0, 0.1]",3754089,7,,True,,,1.7681919,,,,,,"[55.7, 6.6]",,Low Pass,,6.6287255,,,,,James McArthur,3464.0,,,,,Throw-in,1,From Throw In,Pape N''Diaye Souaré,4884.0,Left Back,20,Crystal Palace,31,['38432938-afe7-4f4d-b7fb-6c72f2f83c14'],31,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:31.934,Pass,
,,,,,,,,,,,,,,,,2.054084,,,,,,,,,,,,1203fbba-ece6-4a67-a924-ac2a0a75cee2,298,,"[51.2, 2.7]",3754089,7,,,,,2.097787,,Right Foot,,,,"[34.5, 31.4]",,High Pass,,33.20512,,,,,Scott Dann,3407.0,,,,,,1,From Throw In,James McArthur,3464.0,Left Defensive Midfield,20,Crystal Palace,31,['cb2bef31-518d-4a71-9d81-278df5d48099'],33,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:33.769,Pass,
,,,,,,,,,,,,,,,,4.115207,,,,,,,,,,,,1cfa6b62-c92b-4550-bb1c-192077b70332,301,,"[39.2, 36.1]",3754089,7,,,,,-0.5880026,,Right Foot,,,,"[89.9, 2.3]",,High Pass,,60.933815,,,,,Chung-Yong Lee,3326.0,,,,,,1,From Throw In,Scott Dann,3407.0,Right Center Back,20,Crystal Palace,31,['3abb0ae0-bf49-4a87-a8f8-cd3e5232504b'],38,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:38.328,Pass,
,,,,,,,,,,,,,,,,0.955562,,,,,,,,,,,,3fe7868e-243f-4e1d-8e58-66f2552e44d2,305,,"[83.1, 7.8]",3754089,7,,,,,3.0405862,,Right Foot,,,,"[68.3, 9.3]",,Ground Pass,,14.875819,,,,,James McArthur,3464.0,,,,,,1,From Throw In,Chung-Yong Lee,3326.0,Left Wing,20,Crystal Palace,31,"['ca54f08e-a1d1-4cfa-b377-8d6084fbff20', 'f148a40f-f62b-4a9e-bf54-b1dabdd788d0']",45,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:45.231,Pass,True
,,,,,,,,,,,,,,,,1.268585,,,,,,,,,,,,78815e21-5b08-4780-8042-02a762da13d3,309,,"[69.8, 10.0]",3754089,7,,,,,1.6240005,,Left Foot,,,,"[68.9, 26.9]",,Ground Pass,,16.923948,,,,,Mile Jedinak,5489.0,,,,,,1,From Throw In,James McArthur,3464.0,Left Defensive Midfield,20,Crystal Palace,31,"['0c7eabaa-4d42-4e30-b2f4-2328a4ca20f6', '86b39639-98f9-481b-98ce-4e7a258488a0']",46,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:46.933,Pass,True
,,,,,,,,,,,,,,,,2.023763,,,,,,,,,,,,6a1adb10-a5e0-498f-ae12-b388bc95e684,311,,"[69.2, 28.2]",3754089,7,,,,,-2.3738606,,Right Foot,,,,"[54.8, 14.3]",,Ground Pass,,20.014244,,,,,Damien Delaney,3693.0,,,,,,1,From Throw In,Mile Jedinak,5489.0,Right Defensive Midfield,20,Crystal Palace,31,['e7e2ce95-61ec-41fa-9426-7b06081b31a7'],48,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:48.201,Pass,
,,,,,,,,,,,,,,,,5.423026,,,,,,,,,,,,2b8f83ff-7276-45a0-b247-816a0063c7fd,313,,"[55.0, 13.4]",3754089,7,,,,,0.80617654,,Left Foot,,,,"[113.9, 74.8]",,High Pass,,85.08331,,,,,Wilfried Zaha,3507.0,,True,,,,1,From Throw In,Damien Delaney,3693.0,Left Center Back,20,Crystal Palace,31,['f534d69c-308f-4e24-922d-24095bb3376a'],50,,,,,,,,,,,,,,,,,Crystal Palace,31,00:07:50.225,Pass,
