50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,"[2.6, 41.9]",,Set,,Shot Faced,5337e0a0-1b19-4fa3-8757-01b203ab7076,1776,,,"[2.6, 41.9]",3837827,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Steve Mandanda,3543.0,Goalkeeper,66,Paris Saint-Germain,131,['da099b26-7647-41c1-b7cd-6aa7d24d8372'],24,,,,,,,,,,,,,,,,Rennes,134,00:40:24.083,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[1.4, 40.1]",,Set,,Shot Faced,4eb229b5-13de-493a-99c3-ef02cc07543f,1782,,,"[1.4, 40.1]",3837827,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Steve Mandanda,3543.0,Goalkeeper,67,Paris Saint-Germain,131,['534c49c2-8aea-4041-a980-340a6ba18a13'],12,,,,,,,,,,,,,,,,Rennes,134,00:41:12.020,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,,Claim,,,Keeper Sweeper,45dc90c8-e42a-4cdc-af11-ee0837a35ea7,1793,,,"[15.3, 43.0]",3837827,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Steve Mandanda,3543.0,Goalkeeper,68,Rennes,134,['629a8161-471d-4020-bb3e-0c6f3ac39cc3'],32,,,,,,,,,,,,,,,,Rennes,134,00:41:32.840,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[2.1, 42.2]",,Set,,Shot Faced,654f14b1-b819-4e83-9d07-9f4c35c27e7e,1857,,,"[2.1, 42.2]",3837827,42,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,69,Paris Saint-Germain,131,['27ebb13a-98d5-4cd3-abe3-1273918710d7'],17,,,,,,,,,,,,,,,,Rennes,134,00:42:17.285,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,,Success,,,Collected,99fc22a1-1fe1-4aaa-934b-4679ca27d42f,2222,,,"[3.9, 41.9]",3837827,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Gianluigi Donnarumma,7036.0,Goalkeeper,90,Paris Saint-Germain,131,['78aad00f-5135-47c8-9e15-236e4f63615b'],56,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:04:56.011,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Both Hands,,In Play Danger,Set,Standing,Shot Saved,9eb3dd41-fe2e-4a19-b399-ef767a337aab,2415,,,"[1.3, 40.5]",3837827,55,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,96,Rennes,134,['95988b45-8e79-4822-b5c7-bdbc76421553'],44,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:10:44.711,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[0.8, 39.8]",,Set,,Shot Faced,0b51a557-4b38-43f8-a915-4db6ee8e1d6a,2486,,,"[0.8, 39.8]",3837827,58,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,99,Rennes,134,['c17513fd-dae2-4483-a6c0-d6e8031d9d4f'],46,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:13:46.924,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,,No Touch,Set,Diving,Goal Conceded,688fdc72-41b1-4c4c-804b-d47966b826f5,2733,,,"[1.2, 41.8]",3837827,64,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Gianluigi Donnarumma,7036.0,Goalkeeper,107,Rennes,134,['7b19c688-a69b-43ff-ab4e-989dd633acbe'],16,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:19:16.044,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[9.4, 42.9]",,Set,,Shot Faced,617ccb3a-07d7-46f9-b6b0-7a34967b1575,2834,,,"[9.4, 42.9]",3837827,68,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Steve Mandanda,3543.0,Goalkeeper,111,Paris Saint-Germain,131,['84be4def-2fd6-4e8c-bf55-50095ebae0c0'],28,,,,,,,,,,,,,,,,Rennes,134,00:23:28.980,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Right Hand,,Touched Out,Set,Standing,Shot Saved,b183cd81-519f-4672-b40e-432bc09d1e48,3316,,,"[1.9, 43.0]",3837827,80,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Steve Mandanda,3543.0,Goalkeeper,126,Paris Saint-Germain,131,['a2d1f280-1b5a-4178-bfc9-5da5830aeb63'],34,,,,,,,,,,,,,,,,Rennes,134,00:35:34.880,Goal Keeper,
